iter,timestamp,tag,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19
-4,2025-12-23 14:46:05,executed,-112.47641514761357,-33.35776104156151,59.714987122768484,128.81558005111754,148.48352240204417,111.70441034077403,32.46404928047135,-59.116592677391544,-128.22575135156444,-148.59355299706783,-80.43613949954593,-35.53680212443279,59.256826935084746,70.82828032308156,-15.652121839279417,-80.60527631193744,-34.64613808619314,58.98585776129457,71.45370243886669,-14.398269323169611
-3,2025-12-23 14:46:17,proposed,-92.30230218527876,-39.820228083077765,62.26991542859197,134.41103829471464,174.25815396837748,144.21033660540922,23.080241248695835,-84.10459869362396,-133.43425611592238,-151.5445610540014,-90.03979200167618,-69.70530848581043,81.29448563770319,69.82648278460324,35.1866912549946,-56.41242941983568,4.135365813356117,53.04164382514151,97.87196304099497,-14.003551113969479
-3,2025-12-23 14:46:17,executed,-92.30230218527876,-39.820228083077765,62.26991542859197,134.41103829471464,174.25815396837748,144.21033660540922,23.080241248695835,-84.10459869362396,-133.43425611592238,-151.5445610540014,-90.03979200167618,-69.70530848581043,81.29448563770319,69.82648278460324,35.1866912549946,-56.41242941983568,4.135365813356117,53.04164382514151,97.87196304099497,-14.003551113969479
-2,2025-12-23 14:46:29,proposed,-64.20551086484086,-35.39780725827868,59.36336929798004,136.87502166852403,186.3786934464919,192.66573689537165,-15.251929563835937,-132.55514049562564,-120.50837176487732,-147.51454831947962,-93.17405564931424,-54.26439320772053,54.14228722164799,83.86083037992408,56.253184456276436,-51.01429097977785,-15.281719628869809,73.99927957666121,122.25558306707734,-15.037150772600535
-2,2025-12-23 14:46:29,executed,-64.20551086484086,-35.39780725827868,59.36336929798004,136.87502166852403,186.3786934464919,192.66573689537165,-15.251929563835937,-132.55514049562564,-120.50837176487732,-147.51454831947962,-93.17405564931424,-54.26439320772053,54.14228722164799,83.86083037992408,56.253184456276436,-51.01429097977785,-15.281719628869809,73.99927957666121,122.25558306707734,-15.037150772600535
-1,2025-12-23 14:46:40,proposed,-76.35646480906539,-37.92053555040717,45.67124212388734,155.4493166403931,149.49067276548632,183.32568841382948,30.597877299195076,-122.77893940771408,-106.30303195166405,-126.40385945499662,-92.09259364239854,-49.1053248808811,65.90792021571153,101.56571515217696,35.91304397213858,-53.688151605444396,-24.04542965551662,83.86814946522463,118.27540067011107,-40.53682291904347
-1,2025-12-23 14:46:40,executed,-76.35646480906539,-37.92053555040717,45.67124212388734,155.4493166403931,149.49067276548632,183.32568841382948,30.597877299195076,-122.77893940771408,-106.30303195166405,-126.40385945499662,-92.09259364239854,-49.1053248808811,65.90792021571153,101.56571515217696,35.91304397213858,-53.688151605444396,-24.04542965551662,83.86814946522463,118.27540067011107,-40.53682291904347
0,2025-12-23 14:46:52,proposed,-81.7707112704118,-35.82357449821237,50.681798438358776,136.94531733483157,160.83354597120444,162.52208409217073,27.524358270036327,-106.9819032007777,-130.82734888050115,-145.36399920926578,-103.48567248099984,-68.64832917483655,50.49528599204051,100.89148932310724,15.25585906881598,-30.839604071781338,-36.240989809266075,113.25647720275803,148.12897740487773,-26.394318361259106
0,2025-12-23 14:46:52,executed,-81.7707112704118,-35.82357449821237,50.681798438358776,136.94531733483157,160.83354597120444,162.52208409217073,27.524358270036327,-106.9819032007777,-130.82734888050115,-145.36399920926578,-103.48567248099984,-68.64832917483655,50.49528599204051,100.89148932310724,15.25585906881598,-30.839604071781338,-36.240989809266075,113.25647720275803,148.12897740487773,-26.394318361259106
1,2025-12-23 14:51:43,executed,-81.7707112704118,-35.82357449821237,50.681798438358776,136.94531733483157,160.83354597120444,162.52208409217073,27.524358270036327,-106.9819032007777,-130.82734888050115,-145.36399920926578,-103.48567248099984,-68.64832917483655,50.49528599204051,100.89148932310724,15.25585906881598,-30.839604071781338,-36.240989809266075,113.25647720275803,148.12897740487773,-26.394318361259106
2,2025-12-23 14:54:02,executed,-81.7707112704118,-35.82357449821237,50.681798438358776,136.94531733483157,160.83354597120444,162.52208409217073,27.524358270036327,-106.9819032007777,-130.82734888050115,-145.36399920926578,-103.48567248099984,-68.64832917483655,50.49528599204051,100.89148932310724,15.25585906881598,-30.839604071781338,-36.240989809266075,113.25647720275803,148.12897740487773,-26.394318361259106
3,2025-12-23 14:54:25,executed,-81.7707112704118,-35.82357449821237,50.681798438358776,136.94531733483157,160.83354597120444,162.52208409217073,27.524358270036327,-106.9819032007777,-130.82734888050115,-145.36399920926578,-103.48567248099984,-68.64832917483655,50.49528599204051,100.89148932310724,15.25585906881598,-30.839604071781338,-36.240989809266075,113.25647720275803,148.12897740487773,-26.394318361259106
