iter,timestamp,traj_waypoints,total_balls,cell0,cell1,cell2,cell3,cell4,cell5
-4,2025-12-23 22:34:20,1571,80,13,15,10,13,20,9
-3,2025-12-23 22:34:31,1571,80,16,8,11,14,15,16
-2,2025-12-23 22:34:43,1571,110,19,26,8,20,21,16
-1,2025-12-23 22:34:55,1571,91,11,16,11,14,23,16
0,2025-12-23 22:35:06,1571,104,14,21,5,28,19,17
1,2025-12-23 22:35:21,1571,148,24,22,23,24,25,30
2,2025-12-23 22:35:53,1571,80,18,9,9,15,16,13
3,2025-12-23 22:36:22,1571,97,10,31,2,9,42,3
4,2025-12-23 22:36:49,1571,92,10,16,11,20,13,22
5,2025-12-23 22:37:21,1571,148,25,22,21,23,26,31
6,2025-12-23 22:37:57,1571,148,24,22,24,23,25,30
