step,x,y,z
0,-0.39998246384233227,-0.3999893609959161,0.54
1,-0.4016599704869448,-0.401904049645849,0.54
2,-0.4039079215597541,-0.4041694409335074,0.54
3,-0.4057186762466149,-0.40551189859572745,0.54
4,-0.406642226999133,-0.4054707379838918,0.54
5,-0.4070545743598713,-0.40514631672278534,0.54
6,-0.406909388986531,-0.4044557108021417,0.54
7,-0.4063499056074482,-0.4035596517279572,0.54
8,-0.4055323270168729,-0.40267211304184053,0.54
9,-0.4039551243974523,-0.4012824484525689,0.54
10,-0.40289397564454216,-0.4007750570215232,0.54
11,-0.4021386853136703,-0.4008286293932836,0.54
12,-0.4015185805930893,-0.40116404006883355,0.54
13,-0.40095632430765565,-0.40161169094239796,0.54
14,-0.4004339219216432,-0.4020736417130873,0.54
15,-0.3999840547365516,-0.4024716028259272,0.54
16,-0.39960442282335773,-0.4027823752782884,0.54
17,-0.39927709147712753,-0.4029813676522898,0.54
18,-0.3989854598781299,-0.4030323648503432,0.54
19,-0.39872520845671,-0.40293965708152674,0.54
20,-0.39849519915917536,-0.40273948932264125,0.54
21,-0.39829892849586157,-0.4024720165787125,0.54
22,-0.3981326862456843,-0.40217657463263373,0.54
23,-0.3979879728396163,-0.40188884116206364,0.54
24,-0.39785348306156365,-0.4016373667438095,0.54
25,-0.397712970843931,-0.4014371751844957,0.54
26,-0.3975565751805795,-0.4012899773879035,0.54
27,-0.39737458712561013,-0.40119504706502285,0.54
28,-0.39715458897835515,-0.40114984514755503,0.54
29,-0.39688546419624177,-0.40115116197022305,0.54
30,-0.39657974526666034,-0.4011851941883715,0.54
31,-0.3962395572131707,-0.4012411799465547,0.54
32,-0.3958711085443852,-0.40130807237387234,0.54
33,-0.39548216412261683,-0.40137598219255227,0.54
34,-0.3950810930047199,-0.4014370991427419,0.54
35,-0.3946761451965442,-0.40148597072670694,0.54
36,-0.3942742814899295,-0.4015196520067586,0.54
37,-0.39388066008194544,-0.40153730274483657,0.54
38,-0.39349517018874636,-0.4015414421761003,0.54
39,-0.39312572025034487,-0.40152978593127453,0.54
40,-0.392764661411691,-0.4015090536952042,0.54
41,-0.3924107094564301,-0.40148136375726545,0.54
42,-0.3920691212081907,-0.40144409148701715,0.54
43,-0.39172718405032864,-0.40140688369806227,0.54
44,-0.39138257643104446,-0.40137078758097205,0.54
45,-0.3910328172154638,-0.4013367830320762,0.54
46,-0.3906750731077154,-0.4013066534238072,0.54
47,-0.39030767486278434,-0.4012808534215736,0.54
48,-0.38992622019094497,-0.40126225075355815,0.54
49,-0.3895320782190054,-0.4012448212497857,0.54
50,-0.3891221655618867,-0.40122534347887945,0.54
51,-0.38869519256930435,-0.4012022755375482,0.54
52,-0.38825143601836015,-0.4011753385614036,0.54
53,-0.3877925330665818,-0.40114518791336484,0.54
54,-0.3873384028176647,-0.4011121968886114,0.54
55,-0.3868834492948643,-0.40107669658863226,0.54
56,-0.386426084078071,-0.4010397336698073,0.54
57,-0.3859660218079176,-0.40100194683630824,0.54
58,-0.38551057131321265,-0.4009641060798546,0.54
59,-0.38505726084853914,-0.40092549567352437,0.54
60,-0.38460373060390163,-0.40088547025436283,0.54
61,-0.38415026397102153,-0.4008437584497565,0.54
62,-0.38369554970942876,-0.40080013206519877,0.54
63,-0.3832380120930649,-0.4007546294189884,0.54
64,-0.3827764312422423,-0.40070742335041665,0.54
65,-0.38230947914201585,-0.4006590812918526,0.54
66,-0.3818359900370274,-0.40061035579484744,0.54
67,-0.3813550720803172,-0.4005620294026742,0.54
68,-0.38086424090176024,-0.4005145314150438,0.54
69,-0.3803623340421387,-0.4004685366433406,0.54
70,-0.37985182003759826,-0.4004249982648791,0.54
71,-0.3793329751652324,-0.4003837218157559,0.54
72,-0.3788065978789611,-0.40034458044886506,0.54
73,-0.37827385415770987,-0.40030728621674744,0.54
74,-0.3777361295702524,-0.40027130797851046,0.54
75,-0.37719677962306575,-0.4002362264333151,0.54
76,-0.3766565261938664,-0.4002009215209326,0.54
77,-0.37611594042047675,-0.4001645282731999,0.54
78,-0.375575507869338,-0.4001263378180103,0.54
79,-0.3750356678496028,-0.40008580968696517,0.54
80,-0.37449681188882794,-0.4000426076596793,0.54
81,-0.3739145614452216,-0.40000748019555926,0.54
82,-0.3732295797518835,-0.39998556982889516,0.54
83,-0.37248253599023673,-0.3999682697806794,0.54
84,-0.37164580795544366,-0.3999509614949701,0.54
85,-0.3706476414473935,-0.3999165300690443,0.54
86,-0.36946647130023197,-0.39983747723129365,0.54
87,-0.368095844416013,-0.3996501593168464,0.54
88,-0.3664236296628245,-0.39855028961499894,0.54
89,-0.3646084485832412,-0.39783559019181663,0.54
90,-0.362830802854645,-0.3970968402329533,0.54
91,-0.3615731558153277,-0.39580754580171595,0.54
92,-0.36071532198519024,-0.3943338632035915,0.54
93,-0.35976752628384867,-0.3932150856249344,0.54
94,-0.3588323967634558,-0.39219538358839984,0.54
95,-0.3585633378927901,-0.39127234458138677,0.54
96,-0.3581898878320145,-0.3903076915202585,0.54
97,-0.35791406351246025,-0.38925163484114217,0.54
98,-0.3572614320451582,-0.3884973083170309,0.54
99,-0.35703454021100023,-0.3879009415586905,0.54
100,-0.3567860114094644,-0.38735414946996405,0.54
101,-0.3564185052327417,-0.38707217727610715,0.54
102,-0.3559877101963233,-0.38678219060261837,0.54
103,-0.35572045958347054,-0.386648255116914,0.54
104,-0.35533207064866884,-0.3865228910636485,0.54
105,-0.3549641230888146,-0.38652488668776225,0.54
106,-0.35450904679821355,-0.3865322053258378,0.54
107,-0.35420351750914697,-0.38642673469213934,0.54
108,-0.3538751099650259,-0.3863812601657633,0.54
109,-0.3535012227743263,-0.38627175646554723,0.54
110,-0.3530001386613138,-0.386329932782749,0.54
111,-0.352588359985706,-0.3863175510196478,0.54
112,-0.3520927008416125,-0.3863440147132424,0.54
113,-0.35163862569800575,-0.38626779567045966,0.54
114,-0.3509731613128095,-0.38617826263727845,0.54
115,-0.3505039986024024,-0.3860077064917946,0.54
116,-0.3498413117576276,-0.38596732872101147,0.54
117,-0.3492024076985838,-0.3860432162325726,0.54
118,-0.3484776223005517,-0.38610494389553857,0.54
119,-0.34786096023593527,-0.3859725753104447,0.54
120,-0.3472557338151042,-0.38571931792462044,0.54
121,-0.3466458596016352,-0.38563867053603146,0.54
122,-0.3460088582295837,-0.3856885879367171,0.54
123,-0.3455307047652221,-0.38561224014600537,0.54
124,-0.34493134502692246,-0.3856630537620118,0.54
125,-0.3443548143034891,-0.3857895149200852,0.54
126,-0.34372556345541944,-0.38589084153439906,0.54
127,-0.3431218968087254,-0.3860133585666322,0.54
128,-0.34249442211422293,-0.38610739218445184,0.54
129,-0.34196864265862026,-0.3860273224194344,0.54
130,-0.34145663687399824,-0.38582883194222944,0.54
131,-0.34104392690206037,-0.3856442076923232,0.54
132,-0.3405870040589488,-0.38544245165308544,0.54
133,-0.33997015507222844,-0.38540193195261196,0.54
134,-0.3395099083613045,-0.38529193763396397,0.54
135,-0.3388752331758735,-0.3853211518232542,0.54
136,-0.3383205217592176,-0.38525965000011775,0.54
137,-0.3377096471403175,-0.385364614485163,0.54
138,-0.33724405042537065,-0.3853507496768681,0.54
139,-0.3367008847824255,-0.3853839262952172,0.54
140,-0.336274129973597,-0.3853136386327847,0.54
141,-0.33564427517373957,-0.3852314381130032,0.54
142,-0.335197991199626,-0.38511518201767136,0.54
143,-0.33458333125522155,-0.3851801605201168,0.54
144,-0.3340030246451004,-0.3851782807924781,0.54
145,-0.3334563283309047,-0.38506474011506975,0.54
146,-0.33283647788438986,-0.38508270809730644,0.54
147,-0.3321801994410475,-0.3852443642533341,0.54
148,-0.3316157694407205,-0.3852972603413274,0.54
149,-0.33092134649248023,-0.3854041852746839,0.54
150,-0.3302564609242999,-0.3855784700113829,0.54
151,-0.3296143444588487,-0.3855584789047221,0.54
152,-0.32912723704328983,-0.3854872104862046,0.54
153,-0.3285350072119211,-0.38558834948889653,0.54
154,-0.32777207850128826,-0.38564564758262354,0.54
155,-0.3271380085155023,-0.3857640641312376,0.54
156,-0.3264013232229247,-0.3858280576385835,0.54
157,-0.3257671711438782,-0.3859620725209707,0.54
158,-0.32526669417451326,-0.385939347459458,0.54
159,-0.3246845496571294,-0.38597820913551595,0.54
160,-0.32403581652926566,-0.38587275866793974,0.54
161,-0.3236073615534039,-0.3856516243042035,0.54
162,-0.3230496325051814,-0.3855684465355379,0.54
163,-0.3225252250529982,-0.3856423114185266,0.54
164,-0.32190179408170744,-0.3856882683131557,0.54
165,-0.3213451091781986,-0.38578126007044883,0.54
166,-0.3208628373969068,-0.3857537384176712,0.54
167,-0.3204075732551794,-0.3856312110210307,0.54
168,-0.31984328487200175,-0.3856261602492744,0.54
169,-0.3194004574031261,-0.3854996933526766,0.54
170,-0.31880373361933234,-0.38550407650114954,0.54
171,-0.3182381305807557,-0.3856412593427885,0.54
172,-0.31759083423361106,-0.38565674203615286,0.54
173,-0.31715123966748116,-0.38553657328834784,0.54
174,-0.31655768982862326,-0.385513393454788,0.54
175,-0.31598352238726507,-0.3855918071504393,0.54
176,-0.3153672900293422,-0.3856824622756054,0.54
177,-0.3148484485930833,-0.3856267361962438,0.54
178,-0.3143459880473768,-0.38546265643114647,0.54
179,-0.3137898638560547,-0.38541996113674415,0.54
180,-0.3132350146117131,-0.3855215811028165,0.54
181,-0.3128077585532109,-0.3855136163271494,0.54
182,-0.3122383402701636,-0.3855746452273737,0.54
183,-0.31166894569257064,-0.3857002400774127,0.54
184,-0.3110621096681493,-0.38581504306723335,0.54
185,-0.3104624494069624,-0.385942804606099,0.54
186,-0.3098510325597973,-0.3860455689398127,0.54
187,-0.3093347618722017,-0.38596760542058567,0.54
188,-0.30882757195713545,-0.3857723022693728,0.54
189,-0.3084243453614939,-0.3855829886668847,0.54
190,-0.30797334411457694,-0.3853833688055933,0.54
191,-0.307380233340006,-0.3853463448671384,0.54
192,-0.3069440051347987,-0.38524514832143814,0.54
193,-0.306324089430717,-0.3852852335105924,0.54
194,-0.30579541772623564,-0.3852437174718414,0.54
195,-0.3052320888431736,-0.38538028285327036,0.54
196,-0.3047990909916714,-0.3854118802041455,0.54
197,-0.30428323942877955,-0.3854971313608613,0.54
198,-0.30386084638968297,-0.3854536002324651,0.54
199,-0.3032554927258088,-0.3853987012589523,0.54
200,-0.30283030147449985,-0.3853315575453792,0.54
201,-0.3022803290668802,-0.38544153182801066,0.54
202,-0.3017593511634028,-0.3854766104970774,0.54
203,-0.3012562283023637,-0.38539059921215824,0.54
204,-0.3006565054082942,-0.3854228953237516,0.54
205,-0.3000344550078821,-0.38560741240756136,0.54
206,-0.29949111755455815,-0.3856834254394965,0.54
207,-0.2988103295196143,-0.3858161222867341,0.54
208,-0.2981526744809139,-0.3860062646627023,0.54
209,-0.29752164729670316,-0.38599890763107136,0.54
210,-0.29682808132961835,-0.38604481725901274,0.54
211,-0.29633047751983166,-0.3859641534910993,0.54
212,-0.2958458663449777,-0.385899969668285,0.54
213,-0.2954412451925194,-0.38574755026293606,0.54
214,-0.2948618171846443,-0.38562071999368314,0.54
215,-0.29449617070634854,-0.38551163565485835,0.54
216,-0.2939757109817131,-0.3855795743458481,0.54
217,-0.2934090373335803,-0.3857259904702302,0.54
218,-0.2928176908266331,-0.38591732591474237,0.54
219,-0.2922976082922904,-0.3859623639131543,0.54
220,-0.2917949851161429,-0.38585721669087375,0.54
221,-0.29121131814724077,-0.3858628392048674,0.54
222,-0.2906217533596171,-0.38601935514898433,0.54
223,-0.2901525476249894,-0.3860652925904405,0.54
224,-0.2895405033158402,-0.38617659987301234,0.54
225,-0.28897908667275574,-0.3863323399867558,0.54
226,-0.28836241089656994,-0.38647465053084323,0.54
227,-0.28778788241545267,-0.3866144039638116,0.54
228,-0.2871853458555474,-0.3867276089651291,0.54
229,-0.2866667906372849,-0.38666460447464474,0.54
230,-0.2861900547858379,-0.3864950447333382,0.54
231,-0.2857945832544062,-0.3863254991812149,0.54
232,-0.28535068036592026,-0.38613759886004817,0.54
233,-0.2847696852191402,-0.3861048331875046,0.54
234,-0.284335182659445,-0.38601075555536224,0.54
235,-0.2837541378814056,-0.3860484657683343,0.54
236,-0.28324566349644426,-0.38600426223166256,0.54
237,-0.2826907959391795,-0.38614058910773164,0.54
238,-0.28225137835497494,-0.3861792358416458,0.54
239,-0.28172403293753573,-0.38627285894718033,0.54
240,-0.28129457050209317,-0.38623622559619847,0.54
241,-0.2806850236860968,-0.38618510844092196,0.54
242,-0.280256481461023,-0.38612301764274,0.54
243,-0.279687538920862,-0.386242867206964,0.54
244,-0.27915546299156324,-0.3862927318241995,0.54
245,-0.27867738786869967,-0.38623343959791656,0.54
246,-0.27809096401237027,-0.38627646611684224,0.54
247,-0.27749056013430423,-0.3864608884001735,0.54
248,-0.27696367686680895,-0.38653492331648703,0.54
249,-0.27630910973483425,-0.38666290372084666,0.54
