iter,timestamp,traj_waypoints,total_balls,cell0,cell1,cell2,cell3,cell4,cell5
-19,2026-01-11 15:50:02,1571,129,27,28,8,7,25,34
-18,2026-01-11 15:50:19,1571,136,32,18,12,12,28,34
-17,2026-01-11 15:50:36,1571,138,27,19,17,11,35,29
-16,2026-01-11 15:50:54,1571,134,26,19,15,14,35,25
-15,2026-01-11 15:51:11,1571,134,26,18,12,9,40,29
-14,2026-01-11 15:51:29,1571,141,32,19,16,13,28,33
-13,2026-01-11 15:51:47,1571,145,24,25,19,13,28,36
-12,2026-01-11 15:52:05,1571,145,24,27,17,10,28,39
-11,2026-01-11 15:52:23,1571,137,25,23,13,14,29,33
-10,2026-01-11 15:52:42,1571,134,26,22,16,9,32,29
-9,2026-01-11 15:53:06,1563,105,23,7,8,17,14,36
-8,2026-01-11 15:53:29,1566,109,23,10,15,11,14,36
-7,2026-01-11 15:53:54,1563,117,25,6,13,8,23,42
-6,2026-01-11 15:54:24,1534,118,25,11,4,6,29,43
-5,2026-01-11 15:54:48,1566,127,33,7,4,4,32,47
-4,2026-01-11 15:55:06,1571,117,30,17,5,10,36,19
-3,2026-01-11 15:55:24,1571,117,31,22,4,8,33,19
-2,2026-01-11 15:55:43,1571,119,28,28,6,2,37,18
-1,2026-01-11 15:56:01,1571,112,27,21,7,6,29,22
0,2026-01-11 15:56:20,1571,110,30,19,4,6,24,27
1,2026-01-11 15:57:23,1571,111,29,21,7,6,27,21
2,2026-01-11 15:57:54,1571,112,29,21,7,6,27,22
