step,x,y,z
0,0.010545628297349003,-0.17241334767608238,0.54
1,-0.06000000000000005,0.16333333333333333,0.54
2,-0.06000000000000005,0.15999999999999998,0.54
3,-0.07200000000000006,0.15666666666666668,0.54
4,-0.08999999999999986,0.15000000000000002,0.54
5,-0.10799999999999987,0.14666666666666667,0.54
6,-0.1259999999999999,0.14,0.54
7,-0.15599999999999992,0.13333333333333336,0.54
8,-0.18599999999999994,0.12,0.54
9,-0.2220000000000001,0.10666666666666669,0.54
10,-0.264,0.09333333333333332,0.54
11,-0.30599999999999994,0.08000000000000002,0.54
12,-0.348,0.06666666666666665,0.54
13,-0.3779999999999999,0.053333333333333344,0.54
14,-0.4079999999999999,0.043333333333333335,0.54
15,-0.43799999999999994,0.033333333333333326,0.54
16,-0.46199999999999997,0.023333333333333317,0.54
17,-0.492,0.016666666666666663,0.54
18,-0.51,0.010000000000000009,0.54
19,-0.5339999999999999,0.006666666666666654,0.54
20,-0.5519999999999999,0.003333333333333355,0.54
21,-0.57,0.0,0.54
22,-0.582,-0.0033333333333332993,0.54
23,-0.594,-0.00666666666666671,0.54
24,-0.606,-0.010000000000000009,0.54
25,-0.618,-0.013333333333333308,0.54
26,-0.618,-0.013333333333333308,0.54
27,-0.624,-0.013333333333333308,0.54
28,-0.63,-0.013333333333333308,0.54
29,-0.636,-0.013333333333333308,0.54
30,-0.6479999999999999,-0.010000000000000009,0.54
31,-0.6599999999999999,-0.00666666666666671,0.54
32,-0.6659999999999999,-0.00666666666666671,0.54
33,-0.6839999999999999,-0.0033333333333332993,0.54
34,-0.69,0.0,0.54
35,-0.702,0.006666666666666654,0.54
36,-0.714,0.010000000000000009,0.54
37,-0.72,0.016666666666666663,0.54
38,-0.726,0.023333333333333317,0.54
39,-0.732,0.030000000000000027,0.54
40,-0.744,0.03666666666666668,0.54
41,-0.75,0.043333333333333335,0.54
42,-0.756,0.04999999999999999,0.54
43,-0.762,0.05666666666666664,0.54
44,-0.768,0.06333333333333335,0.54
45,-0.768,0.06666666666666665,0.54
46,-0.774,0.0733333333333333,0.54
47,-0.78,0.08000000000000002,0.54
48,-0.786,0.08666666666666667,0.54
49,-0.786,0.09000000000000002,0.54
50,-0.7919999999999999,0.09999999999999998,0.54
51,-0.7979999999999999,0.10666666666666669,0.54
52,-0.8039999999999999,0.11666666666666664,0.54
53,-0.8099999999999999,0.12333333333333335,0.54
54,-0.816,0.12666666666666665,0.54
55,-0.816,0.13,0.54
56,-0.822,0.14,0.54
57,-0.822,0.1433333333333333,0.54
58,-0.822,0.14666666666666667,0.54
59,-0.828,0.15000000000000002,0.54
60,-0.828,0.15333333333333332,0.54
61,-0.828,0.15999999999999998,0.54
62,-0.834,0.16999999999999998,0.54
63,-0.84,0.17333333333333334,0.54
64,-0.84,0.1766666666666667,0.54
65,-0.84,0.18333333333333335,0.54
66,-0.84,0.18666666666666665,0.54
67,-0.84,0.19333333333333336,0.54
68,-0.84,0.19666666666666666,0.54
69,-0.84,0.2033333333333333,0.54
70,-0.84,0.21000000000000002,0.54
71,-0.84,0.21666666666666667,0.54
72,-0.84,0.21999999999999997,0.54
73,-0.84,0.22666666666666668,0.54
74,-0.84,0.22999999999999998,0.54
75,-0.84,0.23333333333333334,0.54
76,-0.84,0.2366666666666667,0.54
77,-0.84,0.24,0.54
78,-0.834,0.24333333333333335,0.54
79,-0.834,0.24666666666666665,0.54
