iter,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5
2,2,7,-4,-7,-1,3
3,0,0,0,0,0,0
4,0,0,-1,0,1,0
5,0,0,0,0,0,0
6,0,0,-1,0,0,1
7,0,0,0,0,1,-1
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,-4,0,4,0
18,0,0,-2,0,2,0
19,3,5,-3,1,-9,3
20,2,1,-5,0,2,0
21,-1,0,1,0,0,0
22,-6,7,-9,3,1,4
23,-1,4,-5,1,2,-1
24,0,0,-1,0,2,-1
25,0,0,0,-1,0,1
26,0,0,0,0,0,0
27,0,0,2,0,-2,0
28,1,0,1,0,-3,1
29,0,1,-2,0,0,1
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,2,1,-1,2,-5,1
38,1,-1,-1,0,0,1
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,-3,3,0,1,0,-1
42,-6,2,0,4,0,0
43,0,1,-1,0,0,0
44,-1,1,1,-1,0,0
45,0,-1,0,1,0,0
46,-1,1,0,0,0,0
47,0,0,0,0,0,0
48,-2,2,0,0,0,0
49,0,0,0,0,0,0
50,0,1,-1,0,0,0
