iter,timestamp,traj_waypoints,total_balls,cell0,cell1,cell2,cell3,cell4,cell5
1,2025-10-30 01:08:37,1571,135,15,22,24,30,17,27
2,2025-10-30 01:10:28,1571,148,25,21,15,28,26,33
3,2025-10-30 01:12:14,1571,150,27,21,25,18,27,32
4,2025-10-30 01:13:22,1571,149,24,21,23,25,29,27
5,2025-10-30 01:14:41,1571,148,24,21,23,22,31,27
6,2025-10-30 01:16:05,1571,145,26,21,18,25,28,27
7,2025-10-30 01:17:21,1571,149,24,21,21,27,34,22
8,2025-10-30 01:18:43,1571,138,28,25,22,13,27,23
9,2025-10-30 01:20:08,1571,145,28,21,21,17,28,30
10,2025-10-30 01:21:31,1571,150,28,21,23,19,26,33
11,2025-10-30 01:23:00,1571,143,28,21,22,19,28,25
12,2025-10-30 01:24:18,1571,140,24,22,8,22,23,41
13,2025-10-30 01:25:38,1571,150,26,21,21,23,28,31
14,2025-10-30 01:26:58,1571,150,24,21,21,21,31,32
15,2025-10-30 01:28:20,1571,148,25,22,14,23,30,34
16,2025-10-30 01:29:52,1571,148,21,29,24,7,26,41
17,2025-10-30 01:31:15,1571,137,25,21,8,20,20,43
18,2025-10-30 01:32:38,1571,136,28,22,23,13,25,25
19,2025-10-30 01:34:31,1571,145,24,21,26,18,28,28
20,2025-10-30 01:35:52,1571,150,24,21,24,21,28,32
21,2025-10-30 01:37:34,1571,146,24,21,23,23,34,21
22,2025-10-30 01:39:01,1571,146,26,23,20,15,29,33
23,2025-10-30 01:40:39,1571,148,26,25,3,14,42,38
24,2025-10-30 01:42:04,1571,150,25,29,21,14,29,32
25,2025-10-30 01:43:50,1571,144,33,21,5,25,35,25
26,2025-10-30 01:45:22,1571,149,28,21,23,20,27,30
27,2025-10-30 01:47:20,1571,149,27,22,0,51,21,28
28,2025-10-30 01:48:48,1543,135,24,21,25,23,31,11
29,2025-10-30 01:50:12,1571,147,30,21,21,17,25,33
30,2025-10-30 01:52:21,1571,150,24,21,25,21,27,32
31,2025-10-30 01:53:45,1483,146,28,21,24,15,27,31
32,2025-10-30 01:55:18,1535,148,24,21,26,20,25,32
33,2025-10-30 01:57:03,1571,150,27,21,19,22,29,32
34,2025-10-30 01:58:39,1571,150,24,21,27,25,29,24
35,2025-10-30 01:59:52,1571,150,24,21,23,21,27,34
36,2025-10-30 02:01:37,1571,150,24,21,22,23,29,31
37,2025-10-30 02:03:55,1571,150,24,21,25,21,26,33
38,2025-10-30 02:05:39,1571,146,29,22,21,17,27,30
39,2025-10-30 02:07:01,1571,150,24,28,21,16,27,34
40,2025-10-30 02:09:13,1571,146,24,21,22,28,30,21
41,2025-10-30 02:10:32,1571,149,24,21,27,21,29,27
42,2025-10-30 02:12:34,1022,146,24,21,23,20,36,22
43,2025-10-30 02:13:58,1571,150,24,21,25,22,26,32
44,2025-10-30 02:15:35,1571,144,28,21,20,18,28,29
