step,x,y,z
0,0.010545628297349003,-0.17241334767608238,0.54
1,0.017999999999999794,0.010000000000000009,0.54
2,0.017999999999999794,0.006666666666666654,0.54
3,0.017999999999999794,0.0,0.54
4,0.017999999999999794,-0.0033333333333332993,0.54
5,0.01200000000000001,-0.00666666666666671,0.54
6,0.01200000000000001,-0.010000000000000009,0.54
7,0.005999999999999783,-0.01666666666666672,0.54
8,0.005999999999999783,-0.020000000000000018,0.54
9,0.005999999999999783,-0.020000000000000018,0.54
10,0.0,-0.026666666666666616,0.54
11,-0.01200000000000001,-0.030000000000000027,0.54
12,-0.018000000000000016,-0.036666666666666625,0.54
13,-0.02400000000000002,-0.043333333333333335,0.54
14,-0.030000000000000027,-0.046666666666666634,0.54
15,-0.03600000000000003,-0.050000000000000044,0.54
16,-0.04200000000000004,-0.053333333333333344,0.54
17,-0.04800000000000004,-0.06000000000000005,0.54
18,-0.05400000000000005,-0.06333333333333335,0.54
19,-0.06000000000000005,-0.06666666666666665,0.54
20,-0.06600000000000006,-0.06999999999999995,0.54
21,-0.07200000000000006,-0.07333333333333336,0.54
22,-0.07799999999999985,-0.07999999999999996,0.54
23,-0.08399999999999985,-0.08333333333333337,0.54
24,-0.08999999999999986,-0.08999999999999997,0.54
25,-0.09599999999999986,-0.09333333333333338,0.54
26,-0.10199999999999987,-0.09666666666666668,0.54
27,-0.10799999999999987,-0.10333333333333339,0.54
28,-0.11399999999999988,-0.10666666666666669,0.54
29,-0.11999999999999988,-0.11333333333333329,0.54
30,-0.1259999999999999,-0.1166666666666667,0.54
31,-0.1319999999999999,-0.12,0.54
32,-0.1379999999999999,-0.1266666666666667,0.54
33,-0.1439999999999999,-0.13,0.54
34,-0.1439999999999999,-0.1333333333333333,0.54
35,-0.15599999999999992,-0.13666666666666671,0.54
36,-0.16199999999999992,-0.13666666666666671,0.54
37,-0.16799999999999993,-0.14,0.54
38,-0.17399999999999993,-0.1433333333333333,0.54
39,-0.17999999999999994,-0.1466666666666666,0.54
40,-0.18599999999999994,-0.15000000000000002,0.54
41,-0.18599999999999994,-0.15333333333333332,0.54
42,-0.19199999999999995,-0.15333333333333332,0.54
43,-0.19799999999999995,-0.15666666666666662,0.54
44,-0.20400000000000007,-0.16000000000000003,0.54
45,-0.21000000000000008,-0.16333333333333333,0.54
46,-0.21600000000000008,-0.16666666666666663,0.54
47,-0.2220000000000001,-0.17000000000000004,0.54
48,-0.22799999999999998,-0.17333333333333334,0.54
