iter,timestamp,tag,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49
0,2025-10-31 01:01:19,executed,84.993855,54.66914104166666,31.639819249999995,9.947178874999997,-25.081141166666665,-37.775516375,-79.14101125,-121.91540529166666,-152.79776633333333,-168.43753125,-171.14980191666666,-144.37715395833328,-100.78852900000001,-61.08470562499997,-27.206839583333373,1.0728962500000545,28.717259999999996,64.12861333333333,106.51246925000005,142.19847766666672,164.04110816666667,172.245998375,162.70407816666665,134.03044945833335,100.117687,34.254739,24.415438,10.455457999999998,-15.062408000000005,-60.200826,-39.21952579166667,-39.28363775,-38.393947375,-26.586801666666666,-4.935136124999983,19.067695416666666,33.35365620833334,33.9916915,25.69358674999999,13.144849000000018,-0.05908537500002797,-15.457855666666667,-29.508288916666665,-34.886204750000005,-31.100460291666657,-15.298471333333334,7.441406375000016,30.528961166666697,40.29456291666666,37.560793
1,2025-10-31 01:01:21,executed,84.993855,54.66914104166666,31.639819249999995,9.947178874999997,-25.081141166666665,-37.775516375,-79.14101125,-121.91540529166666,-152.79776633333333,-168.43753125,-171.14980191666666,-144.37715395833328,-100.78852900000001,-61.08470562499997,-27.206839583333373,1.0728962500000545,28.717259999999996,64.12861333333333,106.51246925000005,142.19847766666672,164.04110816666667,172.245998375,162.70407816666665,134.03044945833335,100.117687,34.254739,24.415438,10.455457999999998,-15.062408000000005,-60.200826,-39.21952579166667,-39.28363775,-38.393947375,-26.586801666666666,-4.935136124999983,19.067695416666666,33.35365620833334,33.9916915,25.69358674999999,13.144849000000018,-0.05908537500002797,-15.457855666666667,-29.508288916666665,-34.886204750000005,-31.100460291666657,-15.298471333333334,7.441406375000016,30.528961166666697,40.29456291666666,37.560793
1,2025-10-31 01:01:51,proposed,100.0,99.19848150021295,96.81246100088002,92.90901300223506,87.5705705047806,80.90169943749476,73.0076739989608,63.9877989984954,54.06408177726488,43.37688700000001,32.07921286905581,20.32757,8.281,-3.8540000000000005,-15.827000000000002,-27.400000000000002,-38.349000000000004,-48.469,-57.57000000000001,-65.47900000000001,-72.04,-77.11000000000001,-80.56000000000002,-82.30000000000001,-82.26,-80.4,-76.70000000000002,-71.17000000000002,-63.85000000000001,-54.800000000000004,-44.11000000000001,-31.900000000000002,-18.300000000000004,-3.45,12.300000000000004,28.600000000000005,45.00000000000001,61.10000000000001,76.50000000000001,90.70000000000002,103.50000000000001,114.50000000000001,123.50000000000001,130.3,134.70000000000002,136.60000000000002,135.90000000000003,132.60000000000002,126.80000000000001,118.60000000000001
2,2025-10-31 01:02:31,executed,100.0,99.19848150021295,96.81246100088002,92.90901300223506,87.5705705047806,80.90169943749476,73.0076739989608,63.9877989984954,54.06408177726488,43.37688700000001,32.07921286905581,20.32757,8.281,-3.8540000000000005,-15.827000000000002,-27.400000000000002,-38.349000000000004,-48.469,-57.57000000000001,-65.47900000000001,-72.04,-77.11000000000001,-80.56000000000002,-82.30000000000001,-82.26,-80.4,-76.70000000000002,-71.17000000000002,-63.85000000000001,-54.800000000000004,-44.11000000000001,-31.900000000000002,-18.300000000000004,-3.45,12.300000000000004,28.600000000000005,45.00000000000001,61.10000000000001,76.50000000000001,90.70000000000002,103.50000000000001,114.50000000000001,123.50000000000001,130.3,134.70000000000002,136.60000000000002,135.90000000000003,132.60000000000002,126.80000000000001,118.60000000000001
2,2025-10-31 01:03:23,proposed,51.642,31.742624999999997,13.468416666666666,-6.103125000000002,-21.7785,-36.17916666666667,-57.08050000000001,-76.54654166666667,-90.83333333333333,-98.2,-99.66625,-92.96566666666666,-77.249,-59.60733333333332,-39.132333333333364,-17.33649999999996,0.6163333333333334,16.613166666666665,39.876500000000036,62.674000000000035,84.98233333333333,98.6115,96.68233333333333,79.99900000000002,61.599,15.199,16.069833333333335,13.657333333333332,1.1367499999999975,-27.63233333333333,-18.090666666666667,-19.574,-19.415666666666667,-11.965666666666666,0.2502500000000083,11.799,18.715666666666667,20.549,18.994833333333332,16.024000000000004,11.561499999999988,1.7003333333333326,-9.799,-15.949000000000005,-18.474,-17.665666666666667,-10.498999999999992,0.8325000000000156,10.332333333333327,13.999
3,2025-10-31 01:04:03,executed,51.642,31.742624999999997,13.468416666666666,-6.103125000000002,-21.7785,-36.17916666666667,-57.08050000000001,-76.54654166666667,-90.83333333333333,-98.2,-99.66625,-92.96566666666666,-77.249,-59.60733333333332,-39.132333333333364,-17.33649999999996,0.6163333333333334,16.613166666666665,39.876500000000036,62.674000000000035,84.98233333333333,98.6115,96.68233333333333,79.99900000000002,61.599,15.199,16.069833333333335,13.657333333333332,1.1367499999999975,-27.63233333333333,-18.090666666666667,-19.574,-19.415666666666667,-11.965666666666666,0.2502500000000083,11.799,18.715666666666667,20.549,18.994833333333332,16.024000000000004,11.561499999999988,1.7003333333333326,-9.799,-15.949000000000005,-18.474,-17.665666666666667,-10.498999999999992,0.8325000000000156,10.332333333333327,13.999
3,2025-10-31 01:05:10,proposed,70.0,69.5891392683884,68.36701831818274,66.3601509373977,63.601509373977,60.13926838840001,56.02980860539137,51.33701831818274,46.121509373977,40.441392683884004,34.35298086053913,27.9101509373977,21.16367018318274,14.162509373977,6.953509373977,-0.3098086053913699,-7.525509373977,-14.63298086053913,-21.5601509373977,-28.23301831818274,-34.576509373977,-40.5148607316116,-45.971509373977,-50.8701509373977,-55.13601831818274,-58.705509373977,-61.5168607316116,-63.5101509373977,-64.629509373977,-64.821392683884,-64.03701831818275,-62.231509373977,-59.36301831818274,-55.493509373977,-50.6888607316116,-44.998509373977,-38.4748607316116,-31.172509373977,-23.14701831818274,-14.455509373977,-5.155509373977,4.605139268388401,14.80980860539137,25.39701831818274,36.30980860539137,47.4901509373977,58.8801509373977,70.4288607316116,82.086509373977,93.80380860539137
4,2025-10-31 01:05:50,executed,70.0,69.5891392683884,68.36701831818274,66.3601509373977,63.601509373977,60.13926838840001,56.02980860539137,51.33701831818274,46.121509373977,40.441392683884004,34.35298086053913,27.9101509373977,21.16367018318274,14.162509373977,6.953509373977,-0.3098086053913699,-7.525509373977,-14.63298086053913,-21.5601509373977,-28.23301831818274,-34.576509373977,-40.5148607316116,-45.971509373977,-50.8701509373977,-55.13601831818274,-58.705509373977,-61.5168607316116,-63.5101509373977,-64.629509373977,-64.821392683884,-64.03701831818275,-62.231509373977,-59.36301831818274,-55.493509373977,-50.6888607316116,-44.998509373977,-38.4748607316116,-31.172509373977,-23.14701831818274,-14.455509373977,-5.155509373977,4.605139268388401,14.80980860539137,25.39701831818274,36.30980860539137,47.4901509373977,58.8801509373977,70.4288607316116,82.086509373977,93.80380860539137
4,2025-10-31 01:12:09,proposed,85.0,84.829,84.309,83.447,82.253,80.738,78.913,76.791,74.385,71.709,68.777,65.604,62.204,58.593,54.787,50.803,46.658,42.369,37.954,33.431,28.819,24.137,19.399,14.624,9.831,5.038,0.264,-4.488,-9.208,-13.889,-18.525,-23.111,-27.641,-32.11,-36.513,-40.844,-45.099,-49.272,-53.359,-57.354,-61.253,-65.051,-68.744,-72.327,-75.796,-79.146,-82.373,-85.472,-88.439,-91.27
5,2025-10-31 01:12:49,executed,85.0,84.829,84.309,83.447,82.253,80.738,78.913,76.791,74.385,71.709,68.777,65.604,62.204,58.593,54.787,50.803,46.658,42.369,37.954,33.431,28.819,24.137,19.399,14.624,9.831,5.038,0.264,-4.488,-9.208,-13.889,-18.525,-23.111,-27.641,-32.11,-36.513,-40.844,-45.099,-49.272,-53.359,-57.354,-61.253,-65.051,-68.744,-72.327,-75.796,-79.146,-82.373,-85.472,-88.439,-91.27
