iter,timestamp,traj_waypoints,total_balls,cell0,cell1,cell2,cell3,cell4,cell5
1,2025-10-12 21:54:59,1571,147,21,19,41,29,21,16
2,2025-10-12 21:56:25,1571,150,22,18,42,31,14,23
3,2025-10-12 21:57:58,1571,135,14,19,44,21,18,19
4,2025-10-12 21:59:48,1571,146,28,22,34,26,18,18
5,2025-10-12 22:01:14,1571,138,20,16,42,21,20,19
6,2025-10-12 22:02:41,1571,129,37,17,27,6,29,13
7,2025-10-12 22:04:00,1566,144,28,24,33,20,14,25
8,2025-10-12 22:05:16,1423,145,50,1,24,30,21,19
9,2025-10-12 22:06:58,1571,141,38,26,18,11,33,15
10,2025-10-12 22:08:17,1347,141,28,16,36,11,36,14
11,2025-10-12 22:10:07,1571,139,34,15,26,18,18,28
12,2025-10-12 22:11:58,737,147,28,22,33,17,29,18
1,2025-10-12 22:15:11,737,147,28,22,33,17,29,18
2,2025-10-12 22:16:44,1571,134,17,20,32,33,12,20
3,2025-10-12 22:18:32,1571,150,35,20,32,17,23,23
4,2025-10-12 22:20:08,1571,143,30,22,32,16,18,25
5,2025-10-12 22:21:31,1571,150,28,17,41,17,23,24
6,2025-10-12 22:23:02,1571,126,35,32,21,3,25,10
7,2025-10-12 22:24:11,1571,142,30,21,29,15,24,23
8,2025-10-12 22:26:10,1083,129,28,20,38,6,15,22
9,2025-10-12 22:27:33,1571,133,31,14,28,13,29,18
10,2025-10-12 22:28:48,1571,132,28,16,32,16,26,14
11,2025-10-12 22:30:18,1407,135,38,13,16,30,25,13
12,2025-10-12 22:31:42,1571,149,30,20,31,19,25,24
13,2025-10-12 22:33:05,1511,142,28,28,35,19,6,26
14,2025-10-12 22:35:07,1571,134,31,13,27,14,28,21
15,2025-10-12 22:36:37,1571,120,33,29,22,11,18,7
16,2025-10-12 22:38:03,1571,139,27,21,22,18,23,28
17,2025-10-12 22:39:41,1368,132,40,9,16,33,32,2
18,2025-10-12 22:41:02,1571,134,37,26,19,13,21,18
19,2025-10-12 22:42:29,1570,138,27,16,30,23,18,24
20,2025-10-12 22:43:55,1472,134,38,26,16,18,15,21
21,2025-10-12 22:45:10,1565,141,30,17,28,26,20,20
22,2025-10-12 22:46:36,1571,146,27,7,34,24,33,21
23,2025-10-12 22:47:57,1571,138,38,22,29,12,18,19
24,2025-10-12 22:49:15,1513,131,36,11,24,19,23,18
25,2025-10-12 22:50:43,1571,137,32,17,28,23,18,19
26,2025-10-12 22:52:27,893,142,28,19,33,11,26,25
27,2025-10-12 22:54:12,709,142,33,27,34,7,19,22
28,2025-10-12 22:55:50,1571,109,12,27,19,6,24,21
29,2025-10-12 22:56:30,1571,109,12,27,19,6,24,21
30,2025-10-12 22:57:57,1571,135,36,24,10,20,29,16
31,2025-10-12 22:59:35,1148,136,33,8,31,16,46,2
32,2025-10-12 23:01:06,1571,137,28,17,31,18,23,20
33,2025-10-12 23:02:21,1571,142,32,17,30,10,23,30
34,2025-10-12 23:03:02,1571,142,32,17,30,10,23,30
35,2025-10-12 23:04:13,1571,128,32,25,8,21,24,18
36,2025-10-12 23:05:43,1571,119,18,20,29,10,25,17
37,2025-10-12 23:07:19,1361,123,29,17,9,13,41,14
38,2025-10-12 23:08:34,1571,136,34,19,23,17,27,16
39,2025-10-12 23:10:15,1057,136,24,16,39,17,25,15
40,2025-10-12 23:11:44,1571,142,39,22,8,26,27,20
41,2025-10-12 23:13:10,1571,145,20,19,29,9,55,13
42,2025-10-12 23:16:34,1571,114,10,17,3,22,33,29
43,2025-10-12 23:18:00,1571,150,34,21,37,17,22,19
44,2025-10-12 23:19:51,1071,129,22,11,38,18,23,17
45,2025-10-12 23:21:17,1571,141,33,21,28,11,19,29
46,2025-10-12 23:22:38,1571,130,25,24,29,20,17,15
