iter,source_file,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99
1,iter_001_1458fe49_prompt.txt,1.0,2.0,50.0,100.0,41.0,36.0,36.0,21.0,33.0,31.0,2.0,1.0,198.0,100.0,65.370776,52.45726,40.6369,29.605392,18.033523,5.931341,-6.326353,-17.461541,-26.223187,-34.197609,-43.399004,-54.797347,-68.689981,-82.694078,-94.078938,-103.69877,-112.681819,-119.626482,-123.539309,-125.587927,-126.502001,-125.569174,-121.310892,-113.123039,-102.857885,-92.476709,-81.730354,-69.824577,-57.163148,-43.903959,-30.130638,-16.832759,-5.461248,3.898699,13.039037,24.292207,38.638945,54.356717,69.000578,81.899959,95.212694,109.469252,120.0602,125.02996,125.826018,121.888043,112.735371,100.636731,88.93199,77.724505,19.196539,20.155751,20.191332,19.36449,17.515903,13.783372,4.013372,-16.789299,-35.348693,-32.588751,-23.101339,-21.806064,-24.332201,-25.823497,-25.295929,-22.72066,-17.556588,-10.202657,-2.521874,4.979672,12.367861,18.321992,22.457555,25.042474,26.014404,25.853485,24.864491,23.192582,21.340527,19.428395,17.001096,13.072102,7.107368,-0.352414,-8.055547,-14.14084
1,iter_001_1458fe49_response.txt,41.0,36.0,36.0,21.0,33.0,31.0,3.0,2.0,41.0,36.0,36.0,21.0,33.0,31.0,41.0,36.0,36.0,21.0,33.0,31.0,198.0,100.0,50.0,50.0,41.0,1.2,50.0,50.0,-5.0,5.0,1.1,1.0,50.0,0.0,65.370776,1.0,52.45726,2.0,40.6369,3.0,29.605392,4.0,18.033523,5.0,5.931341,6.0,-6.326353,7.0,-17.461541,8.0,-26.223187,9.0,-34.197609,10.0,-43.399004,11.0,-54.797347,12.0,-68.689981,13.0,-82.694078,14.0,-94.078938,15.0,-103.69877,16.0,-112.681819,17.0,-119.626482,18.0,-123.539309,19.0,-125.587927,20.0,-126.502001,21.0,-125.569174,22.0,-121.310892,23.0,-113.123039,24.0,-102.857885,25.0,-92.476709,26.0,-81.730354,27.0,-69.824577,28.0,-57.163148,29.0,-43.903959,30.0,-30.130638,31.0,-16.832759,32.0,-5.461248,33.0
2,iter_002_7578584d_prompt.txt,1.0,2.0,50.0,100.0,43.0,35.0,34.0,14.0,30.0,42.0,2.0,2.0,198.0,100.0,41.0,36.0,36.0,21.0,33.0,31.0,3.0,2.0,41.0,36.0,36.0,21.0,33.0,31.0,41.0,36.0,36.0,21.0,33.0,31.0,198.0,100.0,50.0,50.0,41.0,1.2,50.0,50.0,-5.0,5.0,1.1,1.0,50.0,0.0,65.370776,1.0,52.45726,2.0,40.6369,3.0,29.605392,4.0,18.033523,5.0,5.931341,6.0,-6.326353,7.0,-17.461541,8.0,-26.223187,9.0,-34.197609,10.0,-43.399004,11.0,-54.797347,12.0,-68.689981,13.0,-82.694078,14.0,-94.078938,15.0,-103.69877,16.0,-112.681819,17.0,-119.626482,18.0,-123.539309,19.0,-125.587927,20.0,-126.502001,21.0,-125.569174,22.0,-121.310892,23.0,-113.123039,24.0,-102.857885,25.0,-92.476709,26.0
2,iter_002_7578584d_response.txt,100.0,43.0,35.0,34.0,14.0,30.0,42.0,43.0,35.0,34.0,14.0,30.0,42.0,20.0,41.0,36.0,50.0,100.0,50.0,50.0,20.0,20.0,20.0,198.0,100.0,50.0,50.0,41.0,1.2,50.0,41.0,36.0,33.0,31.0,0.0,-49.0,10.0,50.0,-99.0,100.0,100.0,33.0,100.0,0.0,41.0,1.0,36.0,2.0,36.0,3.0,21.0,4.0,33.0,5.0,31.0,6.0,3.0,7.0,2.0,8.0,41.0,9.0,36.0,10.0,36.0,11.0,21.0,12.0,33.0,13.0,31.0,14.0,41.0,15.0,36.0,16.0,36.0,17.0,21.0,18.0,33.0,19.0,31.0,20.0,198.0,21.0,100.0,22.0,50.0,23.0,50.0,24.0,41.0,25.0,1.2,26.0,50.0,27.0,50.0,28.0
3,iter_003_41ab6361_prompt.txt,1.0,2.0,50.0,100.0,42.0,34.0,26.0,18.0,28.0,50.0,2.0,3.0,198.0,100.0,100.0,43.0,35.0,34.0,14.0,30.0,42.0,43.0,35.0,34.0,14.0,30.0,42.0,20.0,41.0,36.0,50.0,100.0,50.0,50.0,20.0,20.0,20.0,198.0,100.0,50.0,50.0,41.0,1.2,50.0,41.0,36.0,33.0,31.0,0.0,-49.0,10.0,50.0,-99.0,100.0,100.0,33.0,100.0,0.0,41.0,1.0,36.0,2.0,36.0,3.0,21.0,4.0,33.0,5.0,31.0,6.0,3.0,7.0,2.0,8.0,41.0,9.0,36.0,10.0,36.0,11.0,21.0,12.0,33.0,13.0,31.0,14.0,41.0,15.0,36.0,16.0,36.0,17.0,21.0,18.0,33.0,19.0,31.0,20.0,198.0,21.0
3,iter_003_41ab6361_response.txt,100.0,42.0,34.0,26.0,18.0,28.0,50.0,3.0,2.0,3.0,2.0,42.0,34.0,26.0,18.0,28.0,50.0,50.0,50.0,100.0,43.0,35.0,34.0,14.0,30.0,42.0,43.0,35.0,34.0,14.0,30.0,42.0,20.0,41.0,36.0,50.0,100.0,50.0,50.0,20.0,20.0,20.0,198.0,100.0,50.0,50.0,41.0,1.2,50.0,41.0,36.0,33.0,31.0,0.0,-49.0,10.0,50.0,-99.0,100.0,100.0,33.0,100.0,0.0,41.0,1.0,36.0,2.0,36.0,3.0,50.0,50.0,21.0,4.0,33.0,5.0,31.0,6.0,3.0,7.0,2.0,8.0,41.0,9.0,36.0,10.0,36.0,11.0,21.0,12.0,33.0,13.0,31.0,14.0,41.0,15.0,36.0,16.0,36.0,17.0,21.0
4,iter_004_7c742b99_prompt.txt,1.0,2.0,50.0,100.0,43.0,34.0,21.0,24.0,29.0,47.0,2.0,4.0,198.0,100.0,100.0,42.0,34.0,26.0,18.0,28.0,50.0,3.0,2.0,3.0,2.0,42.0,34.0,26.0,18.0,28.0,50.0,50.0,50.0,100.0,43.0,35.0,34.0,14.0,30.0,42.0,43.0,35.0,34.0,14.0,30.0,42.0,20.0,41.0,36.0,50.0,100.0,50.0,50.0,20.0,20.0,20.0,198.0,100.0,50.0,50.0,41.0,1.2,50.0,41.0,36.0,33.0,31.0,0.0,-49.0,10.0,50.0,-99.0,100.0,100.0,33.0,100.0,0.0,41.0,1.0,36.0,2.0,36.0,3.0,50.0,50.0,21.0,4.0,33.0,5.0,31.0,6.0,3.0,7.0,2.0,8.0,41.0,9.0,36.0,10.0,36.0
4,iter_004_7c742b99_response.txt,100.0,43.0,34.0,21.0,24.0,29.0,47.0,3.0,2.0,43.0,34.0,21.0,24.0,29.0,47.0,100.0,50.0,50.0,50.0,43.0,47.0,29.0,50.0,100.0,42.0,34.0,26.0,18.0,28.0,50.0,3.0,2.0,3.0,2.0,42.0,34.0,26.0,18.0,28.0,50.0,50.0,50.0,100.0,43.0,35.0,34.0,14.0,30.0,42.0,43.0,35.0,34.0,14.0,30.0,42.0,20.0,41.0,36.0,50.0,100.0,50.0,50.0,20.0,20.0,20.0,198.0,100.0,50.0,50.0,41.0,1.2,50.0,41.0,50.0,0.0,-49.0,0.0,100.0,1.0,42.0,2.0,34.0,3.0,26.0,4.0,18.0,5.0,28.0,6.0,50.0,7.0,3.0,8.0,2.0,9.0,3.0,10.0,2.0,11.0,42.0
5,iter_005_6c653d07_response.txt,100.0,42.0,35.0,16.0,25.0,33.0,45.0,42.0,35.0,16.0,25.0,33.0,45.0,50.0,5.0,50.0,50.0,50.0,5.0,50.0,0.0,-49.0,0.0,100.0,1.0,43.0,2.0,34.0,3.0,21.0,4.0,24.0,5.0,29.0,6.0,47.0,7.0,3.0,8.0,2.0,9.0,43.0,10.0,34.0,11.0,21.0,12.0,24.0,13.0,29.0,14.0,47.0,15.0,100.0,16.0,50.0,17.0,50.0,18.0,50.0,19.0,43.0,20.0,47.0,21.0,29.0,22.0,50.0,23.0,100.0,24.0,42.0,25.0,34.0,26.0,26.0,27.0,18.0,28.0,28.0,29.0,50.0,30.0,3.0,31.0,2.0,32.0,3.0,33.0,2.0,34.0,42.0,35.0,34.0,36.0,26.0,37.0,18.0,38.0,28.0
5,iter_005_6c653d07_prompt.txt,1.0,2.0,50.0,100.0,42.0,35.0,16.0,25.0,33.0,45.0,2.0,5.0,196.0,100.0,100.0,43.0,34.0,21.0,24.0,29.0,47.0,3.0,2.0,43.0,34.0,21.0,24.0,29.0,47.0,100.0,50.0,50.0,50.0,43.0,47.0,29.0,50.0,100.0,42.0,34.0,26.0,18.0,28.0,50.0,3.0,2.0,3.0,2.0,42.0,34.0,26.0,18.0,28.0,50.0,50.0,50.0,100.0,43.0,35.0,34.0,14.0,30.0,42.0,43.0,35.0,34.0,14.0,30.0,42.0,20.0,41.0,36.0,50.0,100.0,50.0,50.0,20.0,20.0,20.0,198.0,100.0,50.0,50.0,41.0,1.2,50.0,41.0,50.0,0.0,-49.0,0.0,100.0,1.0,42.0,2.0,34.0,3.0,26.0,4.0,18.0
