iter,timestamp,traj_waypoints,total_balls,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5
1,2025-10-01 09:52:44,3141,198,41,40,32,19,30,36
2,2025-10-01 09:58:42,3141,198,44,34,24,18,32,46
3,2025-10-01 10:01:42,3141,198,42,34,26,19,33,44
4,2025-10-01 10:04:21,3141,198,42,34,24,18,31,49
5,2025-10-01 10:06:57,3141,197,43,34,21,19,35,45
6,2025-10-01 10:10:25,3141,198,42,34,20,20,37,45
7,2025-10-01 10:13:39,3141,198,42,34,24,18,34,46
8,2025-10-01 10:16:51,3141,198,42,34,24,17,36,45
9,2025-10-01 10:20:38,3141,198,42,34,25,20,30,47
10,2025-10-01 10:27:13,3141,198,42,34,26,21,28,47
11,2025-10-01 10:31:25,3141,197,44,34,23,18,30,48
12,2025-10-01 10:35:05,3141,198,42,34,23,18,31,50
13,2025-10-01 10:40:37,3141,198,42,34,25,18,33,46
14,2025-10-01 10:44:30,3141,197,42,34,23,19,31,48
15,2025-10-01 10:49:25,3141,198,43,34,21,20,34,46
16,2025-10-01 10:53:15,3141,198,42,34,24,19,32,47
17,2025-10-01 10:57:06,3141,198,44,34,22,19,30,49
18,2025-10-01 10:58:49,3141,198,43,34,29,25,27,40
19,2025-10-01 11:00:36,3141,198,43,33,29,22,29,42
