iter,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5
2,2,-1,-2,-7,-3,11
3,-1,-1,-8,4,-2,8
4,1,0,-5,6,1,-3
5,-1,1,-5,1,4,-2
6,1,-1,8,-6,-5,4
7,-1,0,-2,0,5,-1
8,0,0,4,0,-4,0
9,0,0,-2,0,1,1
10,0,4,-3,-1,-2,2
11,2,-3,1,2,3,-5
12,1,-1,3,-2,-2,1
13,-3,1,-3,4,1,0
14,1,-1,1,-3,7,-5
15,1,2,-1,3,-3,-2
16,0,-2,2,-4,-5,9
17,-1,0,9,0,-1,-7
18,1,3,-3,-1,1,-1
19,-2,-2,2,0,1,1
20,1,-1,-5,2,2,1
21,1,0,3,0,-6,2
22,0,0,-3,4,3,-5
23,0,2,-11,0,2,4
24,-2,-1,1,-2,3,3
25,1,-1,5,-3,2,-3
26,0,0,11,0,-9,-1
27,1,0,1,-1,-3,2
28,-2,2,-12,0,8,4
29,2,2,-5,4,-3,-2
30,6,-4,-1,-2,4,-2
31,-6,4,7,1,-4,-1
32,-2,-4,8,-2,1,-2
33,1,0,0,3,-1,-2
34,0,0,-13,1,2,6
35,-1,2,10,-2,3,-8
36,1,-2,-9,1,-3,10
37,0,0,12,-4,-3,-3
38,0,0,1,0,-2,1
39,-1,0,-2,3,3,-3
40,0,0,-3,-2,2,3
