iter,timestamp,traj_waypoints,total_balls,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5
1,2025-10-01 03:15:05,3141,198,41,36,36,21,33,31
1,2025-10-01 03:18:03,3141,198,41,36,36,21,33,31
2,2025-10-01 03:34:11,3141,198,43,35,34,14,30,42
3,2025-10-01 03:39:11,3141,198,42,34,26,18,28,50
4,2025-10-01 03:45:11,3141,198,43,34,21,24,29,47
5,2025-10-01 03:51:04,3141,196,42,35,16,25,33,45
6,2025-10-01 04:00:18,3141,197,43,34,24,19,28,49
7,2025-10-01 04:10:11,3141,198,42,34,22,19,33,48
8,2025-10-01 04:18:20,3141,198,42,34,26,19,29,48
9,2025-10-01 04:24:17,3141,198,42,34,24,19,30,49
10,2025-10-01 04:27:34,3141,198,42,38,21,18,28,51
11,2025-10-01 04:36:17,3141,198,44,35,22,20,31,46
12,2025-10-01 05:03:35,3141,198,45,34,25,18,29,47
13,2025-10-01 05:10:02,3141,198,42,35,22,22,30,47
14,2025-10-01 05:13:05,3141,198,43,34,23,19,37,42
15,2025-10-01 05:16:17,3141,198,44,36,22,22,34,40
16,2025-10-01 05:18:52,3141,198,44,34,24,18,29,49
17,2025-10-01 05:23:22,3141,198,43,34,33,18,28,42
18,2025-10-01 05:35:35,3141,198,44,37,30,17,29,41
19,2025-10-01 05:43:13,3141,198,42,35,32,17,30,42
20,2025-10-01 05:50:03,3141,198,43,34,27,19,32,43
21,2025-10-01 05:58:31,3141,198,44,34,30,19,26,45
22,2025-10-01 06:01:14,3141,197,44,34,27,23,29,40
23,2025-10-01 06:04:27,3141,194,44,36,16,23,31,44
24,2025-10-01 06:12:05,3141,196,42,35,17,21,34,47
25,2025-10-01 06:17:13,3141,197,43,34,22,18,36,44
26,2025-10-01 06:30:16,3141,198,43,34,33,18,27,43
27,2025-10-01 06:37:50,3141,198,44,34,34,17,24,45
28,2025-10-01 06:56:28,3141,198,42,36,22,17,32,49
29,2025-10-01 07:01:35,3141,196,44,38,17,21,29,47
30,2025-10-01 07:58:47,3141,197,50,34,16,19,33,45
31,2025-10-01 08:03:56,3141,198,44,38,23,20,29,44
32,2025-10-01 08:06:36,3141,197,42,34,31,18,30,42
33,2025-10-01 08:10:22,3141,198,43,34,31,21,29,40
34,2025-10-01 08:20:02,3141,194,43,34,18,22,31,46
35,2025-10-01 08:34:42,3141,198,42,36,28,20,34,38
36,2025-10-01 08:43:15,3141,196,43,34,19,21,31,48
37,2025-10-01 08:50:13,3141,198,43,34,31,17,28,45
38,2025-10-01 08:57:26,3141,198,43,34,32,17,26,46
39,2025-10-01 09:04:42,3141,198,42,34,30,20,29,43
40,2025-10-01 09:14:48,3141,198,42,34,27,18,31,46
