iter,timestamp,traj_waypoints,total_balls,cell0,cell1,cell2,cell3,cell4,cell5
1,2025-10-12 01:21:30,1571,100,15,8,24,24,8,21
2,2025-10-12 01:22:29,1571,100,19,17,18,14,13,19
3,2025-10-12 01:23:20,1571,100,18,11,18,19,10,24
4,2025-10-12 01:24:14,1571,90,26,13,4,15,13,19
5,2025-10-12 01:25:39,15,100,18,11,19,21,13,18
6,2025-10-12 01:26:32,1571,100,23,13,14,17,11,22
7,2025-10-12 01:27:29,1571,100,20,14,21,14,11,20
8,2025-10-12 01:28:23,1571,100,16,11,20,21,8,24
9,2025-10-12 01:29:14,1571,100,16,11,21,20,9,23
10,2025-10-12 01:30:21,918,98,17,11,22,22,10,16
11,2025-10-12 01:31:13,1571,92,14,13,18,10,8,29
12,2025-10-12 01:32:05,1571,99,20,11,15,15,9,29
13,2025-10-12 01:33:02,1571,100,21,11,17,18,9,24
14,2025-10-12 01:34:24,387,93,16,14,21,12,9,21
15,2025-10-12 01:35:02,387,93,16,14,21,12,9,21
16,2025-10-12 01:35:59,1571,100,22,12,17,17,9,23
17,2025-10-12 01:36:55,1571,99,16,12,22,16,8,25
18,2025-10-12 01:38:07,918,98,17,11,22,22,10,16
19,2025-10-12 01:38:59,1571,100,18,13,18,16,11,24
20,2025-10-12 01:40:06,934,78,21,16,20,5,16,0
21,2025-10-12 01:40:59,1571,100,16,11,21,20,8,24
22,2025-10-12 01:42:12,918,98,17,11,22,22,10,16
23,2025-10-12 01:43:05,1571,100,18,17,15,19,8,23
24,2025-10-12 01:43:58,1571,98,23,12,16,16,9,22
25,2025-10-12 01:44:57,1571,100,17,17,16,19,8,23
26,2025-10-12 01:45:56,1571,99,16,11,12,19,17,24
27,2025-10-12 01:46:59,1478,87,16,16,18,9,14,14
28,2025-10-12 01:47:57,1571,92,14,13,18,10,8,29
29,2025-10-12 01:48:58,1571,98,22,6,19,23,13,15
30,2025-10-12 01:50:10,934,84,18,16,20,11,19,0
31,2025-10-12 01:51:05,1571,97,17,9,23,23,11,14
