iter,timestamp,tag,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49
0,2025-10-12 01:21:21,executed,84.993855,54.66914104166666,31.639819249999995,9.947178874999997,-25.081141166666665,-37.775516375,-79.14101125,-121.91540529166666,-152.79776633333333,-168.43753125,-171.14980191666666,-144.37715395833328,-100.78852900000001,-61.08470562499997,-27.206839583333373,1.0728962500000545,28.717259999999996,64.12861333333333,106.51246925000005,142.19847766666672,164.04110816666667,172.245998375,162.70407816666665,134.03044945833335,100.117687,34.254739,24.415438,10.455457999999998,-15.062408000000005,-60.200826,-39.21952579166667,-39.28363775,-38.393947375,-26.586801666666666,-4.935136124999983,19.067695416666666,33.35365620833334,33.9916915,25.69358674999999,13.144849000000018,-0.05908537500002797,-15.457855666666667,-29.508288916666665,-34.886204750000005,-31.100460291666657,-15.298471333333334,7.441406375000016,30.528961166666697,40.29456291666666,37.560793
1,2025-10-12 01:21:21,executed,84.993855,54.66914104166666,31.639819249999995,9.947178874999997,-25.081141166666665,-37.775516375,-79.14101125,-121.91540529166666,-152.79776633333333,-168.43753125,-171.14980191666666,-144.37715395833328,-100.78852900000001,-61.08470562499997,-27.206839583333373,1.0728962500000545,28.717259999999996,64.12861333333333,106.51246925000005,142.19847766666672,164.04110816666667,172.245998375,162.70407816666665,134.03044945833335,100.117687,34.254739,24.415438,10.455457999999998,-15.062408000000005,-60.200826,-39.21952579166667,-39.28363775,-38.393947375,-26.586801666666666,-4.935136124999983,19.067695416666666,33.35365620833334,33.9916915,25.69358674999999,13.144849000000018,-0.05908537500002797,-15.457855666666667,-29.508288916666665,-34.886204750000005,-31.100460291666657,-15.298471333333334,7.441406375000016,30.528961166666697,40.29456291666666,37.560793
1,2025-10-12 01:21:41,proposed,42.4969275,27.065818041666667,15.48508275,3.736751375,-12.905511666666666,-20.622792874999988,-42.35933525,-63.67817929166665,-78.00904083333332,-85.24963875,-84.48690241666667,-67.32084895833334,-45.410941,-25.473807375000032,-9.43668791666668,4.692194625,19.521303833333302,39.38735904166661,60.325286,76.1691740833333,84.51615,85.0918315,75.92321808333335,58.77603287500002,9.5982695,10.0778755,9.605220541666666,5.910295500000002,-10.71457375,-14.713140166666669,-11.429310541666664,-12.779856500000001,-9.854142333333339,-2.541067500000007,5.260406874999999,10.884147249999996,12.966704916666664,12.4322455,10.590591333333338,8.173131833333336,2.62121125,-5.041988999999989,-9.60504029166666,-11.516376750000001,-11.290276500000003,-7.226770666666678,-0.07458137499999973,6.169468249999991,8.758400749999998,8.993128
2,2025-10-12 01:22:21,executed,42.4969275,27.065818041666667,15.48508275,3.736751375,-12.905511666666666,-20.622792874999988,-42.35933525,-63.67817929166665,-78.00904083333332,-85.24963875,-84.48690241666667,-67.32084895833334,-45.410941,-25.473807375000032,-9.43668791666668,4.692194625,19.521303833333302,39.38735904166661,60.325286,76.1691740833333,84.51615,85.0918315,75.92321808333335,58.77603287500002,9.5982695,10.0778755,9.605220541666666,5.910295500000002,-10.71457375,-14.713140166666669,-11.429310541666664,-12.779856500000001,-9.854142333333339,-2.541067500000007,5.260406874999999,10.884147249999996,12.966704916666664,12.4322455,10.590591333333338,8.173131833333336,2.62121125,-5.041988999999989,-9.60504029166666,-11.516376750000001,-11.290276500000003,-7.226770666666678,-0.07458137499999973,6.169468249999991,8.758400749999998,8.993128
2,2025-10-12 01:22:32,proposed,40.0,30.0,20.0,10.0,5.0,2.0,0.0,-5.0,-10.0,-15.0,-20.0,-25.0,-30.0,-35.0,-40.0,-45.0,-50.0,-55.0,-60.0,-65.0,-70.0,-65.0,-60.0,-55.0,-50.0,-45.0,-40.0,-35.0,-30.0,-25.0,-10.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,60.0,55.0,50.0,45.0,40.0,35.0
3,2025-10-12 01:23:12,executed,40.0,30.0,20.0,10.0,5.0,2.0,0.0,-5.0,-10.0,-15.0,-20.0,-25.0,-30.0,-35.0,-40.0,-45.0,-50.0,-55.0,-60.0,-65.0,-70.0,-65.0,-60.0,-55.0,-50.0,-45.0,-40.0,-35.0,-30.0,-25.0,-10.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,60.0,55.0,50.0,45.0,40.0,35.0
3,2025-10-12 01:23:26,proposed,104.993855,89.885069,75.206646,62.306527,52.309473,44.273628,32.420855,12.631446,-4.351259,-8.730552,-14.305447,-30.96178,-53.563352,-75.873989,-96.474452,-115.129149,-129.577451,-139.238397,-146.375785,-151.873775,-153.325799,-148.103406,-134.11261,-112.871615,-90.755176,-70.821882,-51.419665,-32.33974,-15.634237,-1.18727,12.696095,26.098977,39.240626,53.455577,70.216669,89.857061,111.259438,131.596813,149.704331,165.486411,177.232589,185.402812,190.847044,192.445849,189.429601,182.092667,169.79719,153.344939,136.11635,120.117687
4,2025-10-12 01:24:06,executed,104.993855,89.885069,75.206646,62.306527,52.309473,44.273628,32.420855,12.631446,-4.351259,-8.730552,-14.305447,-30.96178,-53.563352,-75.873989,-96.474452,-115.129149,-129.577451,-139.238397,-146.375785,-151.873775,-153.325799,-148.103406,-134.11261,-112.871615,-90.755176,-70.821882,-51.419665,-32.33974,-15.634237,-1.18727,12.696095,26.098977,39.240626,53.455577,70.216669,89.857061,111.259438,131.596813,149.704331,165.486411,177.232589,185.402812,190.847044,192.445849,189.429601,182.092667,169.79719,153.344939,136.11635,120.117687
4,2025-10-12 01:24:22,proposed,-74.176,-44.697125,-18.641000000000005,2.4034999999999997,18.953499999999995,30.789374999999993,37.558,38.96662500000001,34.720000000000006,24.281625,7.617250000000019,-14.04999999999998,-40.10299999999996,-70.34499999999997,-104.3634999999999,-141.76225,-182.1249999999999,-225.1216249999999,-270.22974999999997,-317.05937499999993,-365.2204999999999,-414.32312499999995,-463.97724999999997,-513.7941249999999,-563.41,-589.64,-638.0725,-685.1575,-730.44625,-773.51,-813.9174999999999,-851.2625,-885.15,-915.2,-940.845,-961.8249999999999,-977.73375,-988.17,-992.7475,-991.08,-982.825,-967.7,-945.11625,-914.9775,-876.94875,-830.7050000000002,-775.9075,-712.2275000000001,-639.3525000000002,-556.98
5,2025-10-12 01:25:02,executed,-74.176,-44.697125,-18.641000000000005,2.4034999999999997,18.953499999999995,30.789374999999993,37.558,38.96662500000001,34.720000000000006,24.281625,7.617250000000019,-14.04999999999998,-40.10299999999996,-70.34499999999997,-104.3634999999999,-141.76225,-182.1249999999999,-225.1216249999999,-270.22974999999997,-317.05937499999993,-365.2204999999999,-414.32312499999995,-463.97724999999997,-513.7941249999999,-563.41,-589.64,-638.0725,-685.1575,-730.44625,-773.51,-813.9174999999999,-851.2625,-885.15,-915.2,-940.845,-961.8249999999999,-977.73375,-988.17,-992.7475,-991.08,-982.825,-967.7,-945.11625,-914.9775,-876.94875,-830.7050000000002,-775.9075,-712.2275000000001,-639.3525000000002,-556.98
