iter,timestamp,traj_waypoints,total_balls,cell0,cell1,cell2,cell3,cell4,cell5
1,2025-10-12 11:32:37,1571,100,15,8,24,24,8,21
2,2025-10-12 11:33:36,1571,100,19,17,18,14,13,19
3,2025-10-12 11:36:35,918,98,17,11,22,22,10,16
4,2025-10-12 11:37:43,918,98,17,11,22,22,10,16
5,2025-10-12 11:41:58,1571,92,14,13,18,10,8,29
6,2025-10-12 11:42:59,1571,92,11,12,17,19,10,23
7,2025-10-12 11:45:44,1571,97,15,11,27,19,9,16
8,2025-10-12 11:47:45,1571,98,19,12,16,14,9,28
9,2025-10-12 11:52:02,1571,100,15,13,23,22,10,17
10,2025-10-12 11:52:59,1571,99,17,8,23,26,9,16
11,2025-10-12 11:53:57,1571,100,16,11,20,21,8,24
12,2025-10-12 11:55:01,1571,100,22,12,17,17,9,23
13,2025-10-12 11:56:00,1571,100,18,11,19,20,9,23
14,2025-10-12 11:56:55,1571,98,16,12,16,21,8,25
15,2025-10-12 11:58:06,918,98,17,11,22,22,10,16
16,2025-10-12 11:59:03,1571,100,20,11,17,20,9,23
17,2025-10-12 12:00:15,935,88,17,13,22,15,19,2
18,2025-10-12 12:01:08,1571,94,14,13,18,14,8,27
19,2025-10-12 12:02:13,1417,86,13,8,19,15,9,22
20,2025-10-12 12:03:25,934,87,17,14,22,14,19,1
21,2025-10-12 12:04:19,1571,98,23,12,16,16,9,22
22,2025-10-12 12:05:11,1571,98,18,11,18,18,10,23
23,2025-10-12 12:06:11,1571,99,16,13,18,18,11,23
24,2025-10-12 12:07:11,1571,100,22,12,17,17,9,23
25,2025-10-12 12:08:10,1571,100,16,11,21,22,8,22
26,2025-10-12 12:09:14,1571,100,20,14,23,14,9,20
27,2025-10-12 12:10:16,1571,98,12,18,17,25,11,15
28,2025-10-12 12:11:11,1571,100,16,11,18,19,13,23
29,2025-10-12 12:12:11,1571,88,19,12,5,19,11,22
30,2025-10-12 12:13:44,63,95,17,11,19,17,13,18
31,2025-10-12 12:14:43,1571,99,23,12,15,17,10,22
32,2025-10-12 12:15:42,1571,98,23,12,16,16,9,22
33,2025-10-12 12:16:58,917,97,16,11,23,18,12,17
34,2025-10-12 12:17:59,1571,92,14,13,18,10,8,29
35,2025-10-12 12:19:14,942,79,20,15,20,10,11,3
36,2025-10-12 12:20:15,1571,99,15,11,28,21,8,16
37,2025-10-12 12:21:10,1571,98,15,11,26,24,7,15
38,2025-10-12 12:22:12,1571,100,17,17,16,15,13,22
39,2025-10-12 12:23:29,932,88,16,11,27,24,2,8
40,2025-10-12 12:24:27,1571,98,19,15,19,10,10,25
41,2025-10-12 12:25:19,1571,98,23,12,16,16,9,22
42,2025-10-12 12:26:12,1571,99,16,13,18,18,11,23
43,2025-10-12 12:27:10,1571,99,16,13,18,18,11,23
44,2025-10-12 12:27:30,1571,99,16,13,18,18,11,23
45,2025-10-12 12:28:29,1191,97,16,15,13,26,5,22
46,2025-10-12 12:29:31,1571,100,23,12,18,16,9,22
47,2025-10-12 12:30:29,1571,100,18,13,18,16,11,24
48,2025-10-12 12:31:29,1571,100,22,12,17,17,9,23
49,2025-10-12 12:32:33,1567,96,16,11,21,17,8,23
50,2025-10-12 12:33:37,1092,75,9,9,17,8,12,20
