iter,timestamp,tag,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49
0,2025-10-12 11:32:29,executed,84.993855,54.66914104166666,31.639819249999995,9.947178874999997,-25.081141166666665,-37.775516375,-79.14101125,-121.91540529166666,-152.79776633333333,-168.43753125,-171.14980191666666,-144.37715395833328,-100.78852900000001,-61.08470562499997,-27.206839583333373,1.0728962500000545,28.717259999999996,64.12861333333333,106.51246925000005,142.19847766666672,164.04110816666667,172.245998375,162.70407816666665,134.03044945833335,100.117687,34.254739,24.415438,10.455457999999998,-15.062408000000005,-60.200826,-39.21952579166667,-39.28363775,-38.393947375,-26.586801666666666,-4.935136124999983,19.067695416666666,33.35365620833334,33.9916915,25.69358674999999,13.144849000000018,-0.05908537500002797,-15.457855666666667,-29.508288916666665,-34.886204750000005,-31.100460291666657,-15.298471333333334,7.441406375000016,30.528961166666697,40.29456291666666,37.560793
1,2025-10-12 11:32:29,executed,84.993855,54.66914104166666,31.639819249999995,9.947178874999997,-25.081141166666665,-37.775516375,-79.14101125,-121.91540529166666,-152.79776633333333,-168.43753125,-171.14980191666666,-144.37715395833328,-100.78852900000001,-61.08470562499997,-27.206839583333373,1.0728962500000545,28.717259999999996,64.12861333333333,106.51246925000005,142.19847766666672,164.04110816666667,172.245998375,162.70407816666665,134.03044945833335,100.117687,34.254739,24.415438,10.455457999999998,-15.062408000000005,-60.200826,-39.21952579166667,-39.28363775,-38.393947375,-26.586801666666666,-4.935136124999983,19.067695416666666,33.35365620833334,33.9916915,25.69358674999999,13.144849000000018,-0.05908537500002797,-15.457855666666667,-29.508288916666665,-34.886204750000005,-31.100460291666657,-15.298471333333334,7.441406375000016,30.528961166666697,40.29456291666666,37.560793
1,2025-10-12 11:32:48,proposed,42.4969275,27.065818041666667,15.48508275,3.736751375,-12.905511666666666,-20.622792874999988,-42.35933525,-63.67817929166665,-78.00904083333332,-85.24963875,-84.48690241666667,-67.32084895833334,-45.410941,-25.473807375000032,-9.43668791666668,4.692194625,19.521303833333302,39.38735904166661,60.325286,76.1691740833333,84.51615,85.0918315,75.92321808333335,58.77603287500002,9.59826975,10.0778755,9.605220541666666,5.910295500000002,-10.71457375,-14.713140166666669,-11.429310541666664,-12.779856500000001,-9.854142333333339,-2.541067500000007,5.260406874999999,10.884147249999996,12.966704916666664,12.4322455,10.590591333333338,8.173131833333336,2.62121125,-5.041988999999989,-9.60504029166666,-11.516376750000001,-11.290276500000003,-7.226770666666678,-0.07458137499999973,6.169468249999991,8.758400749999998,8.3892785
2,2025-10-12 11:33:28,executed,42.4969275,27.065818041666667,15.48508275,3.736751375,-12.905511666666666,-20.622792874999988,-42.35933525,-63.67817929166665,-78.00904083333332,-85.24963875,-84.48690241666667,-67.32084895833334,-45.410941,-25.473807375000032,-9.43668791666668,4.692194625,19.521303833333302,39.38735904166661,60.325286,76.1691740833333,84.51615,85.0918315,75.92321808333335,58.77603287500002,9.59826975,10.0778755,9.605220541666666,5.910295500000002,-10.71457375,-14.713140166666669,-11.429310541666664,-12.779856500000001,-9.854142333333339,-2.541067500000007,5.260406874999999,10.884147249999996,12.966704916666664,12.4322455,10.590591333333338,8.173131833333336,2.62121125,-5.041988999999989,-9.60504029166666,-11.516376750000001,-11.290276500000003,-7.226770666666678,-0.07458137499999973,6.169468249999991,8.758400749999998,8.3892785
2,2025-10-12 11:35:31,proposed,-74.993855,-59.885069,-45.206646,-32.306527,-22.309473,-14.273628,-2.420855,17.368554,34.351259,38.730552,44.305447,60.96178,83.563352,105.873989,126.474452,145.129149,159.577451,169.238397,176.375785,181.873775,183.325799,178.103406,164.11261,142.871615,120.755176,100.821882,81.419665,62.33974,45.634237,31.18727,17.303905,-6.098977,-19.240626,-33.455577,-50.216669,-69.857061,-91.259438,-111.596813,-129.704331,-145.486411,-157.232589,-165.402812,-170.847044,-172.445849,-169.429601,-162.092667,-149.79719,-133.344939,-116.11635,-100.117687
3,2025-10-12 11:36:11,executed,-74.993855,-59.885069,-45.206646,-32.306527,-22.309473,-14.273628,-2.420855,17.368554,34.351259,38.730552,44.305447,60.96178,83.563352,105.873989,126.474452,145.129149,159.577451,169.238397,176.375785,181.873775,183.325799,178.103406,164.11261,142.871615,120.755176,100.821882,81.419665,62.33974,45.634237,31.18727,17.303905,-6.098977,-19.240626,-33.455577,-50.216669,-69.857061,-91.259438,-111.596813,-129.704331,-145.486411,-157.232589,-165.402812,-170.847044,-172.445849,-169.429601,-162.092667,-149.79719,-133.344939,-116.11635,-100.117687
3,2025-10-12 11:36:40,proposed,-74.993855,-59.885069,-45.206646,-32.306527,-22.309473,-14.273628,-2.420855,17.368554,34.351259,38.730552,44.305447,60.96178,83.563352,105.873989,126.474452,145.129149,159.577451,169.238397,176.375785,181.873775,183.325799,178.103406,164.11261,142.871615,120.755176,100.821882,81.419665,62.33974,45.634237,31.18727,17.303905,-6.098977,-19.240626,-33.455577,-50.216669,-69.857061,-91.259438,-111.596813,-129.704331,-145.486411,-157.232589,-165.402812,-170.847044,-172.445849,-169.429601,-162.092667,-149.79719,-133.344939,-116.11635,-100.117687
4,2025-10-12 11:37:20,executed,-74.993855,-59.885069,-45.206646,-32.306527,-22.309473,-14.273628,-2.420855,17.368554,34.351259,38.730552,44.305447,60.96178,83.563352,105.873989,126.474452,145.129149,159.577451,169.238397,176.375785,181.873775,183.325799,178.103406,164.11261,142.871615,120.755176,100.821882,81.419665,62.33974,45.634237,31.18727,17.303905,-6.098977,-19.240626,-33.455577,-50.216669,-69.857061,-91.259438,-111.596813,-129.704331,-145.486411,-157.232589,-165.402812,-170.847044,-172.445849,-169.429601,-162.092667,-149.79719,-133.344939,-116.11635,-100.117687
4,2025-10-12 11:41:11,proposed,74.993855,59.885069,45.206646,32.306527,22.309473,14.273628,2.420855,-17.368554,-34.351259,-38.730552,-44.305447,-60.96178,-83.563352,-105.873989,-126.474452,-145.129149,-159.577451,-169.238397,-176.375785,-181.873775,-183.325799,-178.103406,-164.11261,-142.871615,-120.755176,-100.821882,-81.419665,-62.33974,-45.634237,-31.18727,-17.303905,-3.901023,9.240626,23.455577,40.216669,59.857061,81.259438,101.596813,119.704331,135.486411,147.232589,155.402812,160.847044,162.445849,159.429601,152.092667,139.79719,123.344939,106.11635,90.117687
5,2025-10-12 11:41:51,executed,74.993855,59.885069,45.206646,32.306527,22.309473,14.273628,2.420855,-17.368554,-34.351259,-38.730552,-44.305447,-60.96178,-83.563352,-105.873989,-126.474452,-145.129149,-159.577451,-169.238397,-176.375785,-181.873775,-183.325799,-178.103406,-164.11261,-142.871615,-120.755176,-100.821882,-81.419665,-62.33974,-45.634237,-31.18727,-17.303905,-3.901023,9.240626,23.455577,40.216669,59.857061,81.259438,101.596813,119.704331,135.486411,147.232589,155.402812,160.847044,162.445849,159.429601,152.092667,139.79719,123.344939,106.11635,90.117687
