step,x,y,z
0,2.0560165844088008e-05,1.3914866027012543e-05,0.54
1,0.0007212658815849544,0.0011025123761602557,0.54
2,0.0015615834224624496,0.0025101322009301987,0.54
3,0.001998004724899833,0.0035558642782907157,0.54
4,0.0011986979348357484,0.003943262836087554,0.54
5,2.0111215998231628e-05,0.0037611152238197065,0.54
6,-0.0010075739013248111,0.0032084659309891874,0.54
7,-0.0013850073841871386,0.002860748851980094,0.54
8,-0.0015017697795587151,0.0025547653390000902,0.54
9,-0.0016295199848561145,0.0024494544278600514,0.54
10,-0.0018033575225014948,0.0022866906130993812,0.54
11,-0.0018049564175315208,0.002247204870207572,0.54
12,-0.001640054927350027,0.002471449075568873,0.54
13,-0.0013776721085798592,0.002703255902564606,0.54
14,-0.0008818246146013655,0.0029777065733079177,0.54
15,-0.0005252495319325592,0.0031223111214636144,0.54
16,-0.00022288805712149758,0.003358312373731774,0.54
17,0.0001352714739535671,0.003368716584662061,0.54
18,0.0005639423436707811,0.00330059717218262,0.54
19,0.000942884856039403,0.003295873144941787,0.54
20,0.0013483023567050258,0.003261964432463257,0.54
21,0.0016046933100976684,0.003267660194378224,0.54
22,0.0018463348100634666,0.0033204435121964287,0.54
23,0.0021149084095373593,0.003305507909898906,0.54
24,0.0024823830305903682,0.0033966890900095103,0.54
25,0.0028442128749068484,0.0035278064977420304,0.54
26,0.0032274855967445114,0.0037234945535949532,0.54
27,0.003650930932067672,0.004230100631223748,0.54
28,0.004169608356966536,0.004797393906092604,0.54
29,0.004846312136474222,0.005530942777936366,0.54
30,0.005459556265615693,0.006196872059685153,0.54
31,0.005993708344630134,0.006786523962793179,0.54
32,0.006540269952315667,0.007489966662881617,0.54
33,0.007126410580731237,0.00830379795535945,0.54
34,0.007687084299039947,0.009213697933423469,0.54
35,0.008267836853835262,0.009966875435163211,0.54
36,0.008868017920685596,0.010684010232688725,0.54
37,0.009363717932482179,0.011248217412753999,0.54
38,0.009848207514002833,0.011895269120082638,0.54
39,0.010394895494427712,0.01249909947650562,0.54
40,0.010932539088051491,0.012976584740879395,0.54
41,0.011529131217627992,0.013503133637371345,0.54
42,0.012116251316513596,0.013973838501315245,0.54
43,0.012694649027457266,0.014612992777676484,0.54
44,0.013368277311605253,0.01524283421087106,0.54
