iter,timestamp,traj_waypoints,total_balls,cell0,cell1,cell2,cell3,cell4,cell5
1,2025-10-07 00:24:37,3141,197,39,40,32,21,30,35
2,2025-10-07 00:25:40,3141,197,39,40,32,21,30,35
3,2025-10-07 00:26:43,3141,196,43,36,23,17,33,44
4,2025-10-07 00:27:45,3141,196,43,36,23,17,33,44
5,2025-10-07 00:28:47,3141,196,43,36,23,17,33,44
6,2025-10-07 00:29:49,3141,196,41,35,24,16,33,47
7,2025-10-07 00:30:53,3141,196,41,35,24,16,33,47
8,2025-10-07 00:31:57,3141,196,39,36,24,16,34,47
9,2025-10-07 00:32:59,3141,196,41,37,22,16,31,49
10,2025-10-07 00:34:01,3141,195,40,42,21,9,33,50
11,2025-10-07 00:35:04,3141,195,40,42,21,9,33,50
12,2025-10-07 00:36:07,3141,192,38,39,19,12,39,45
13,2025-10-07 00:37:11,3141,192,38,39,19,12,39,45
14,2025-10-07 00:38:16,3141,193,39,40,20,10,40,44
15,2025-10-07 00:39:19,3141,191,41,36,19,13,39,43
16,2025-10-07 00:40:22,3141,191,41,36,19,13,39,43
17,2025-10-07 00:41:25,3141,191,41,36,19,13,39,43
18,2025-10-07 00:42:28,3141,191,41,36,19,13,39,43
19,2025-10-07 00:43:32,3141,195,41,36,22,15,34,47
20,2025-10-07 00:45:06,3141,195,41,36,22,15,34,47
21,2025-10-07 00:46:08,3141,195,41,36,22,15,34,47
22,2025-10-07 00:48:21,3141,195,41,36,22,15,34,47
23,2025-10-07 00:51:27,3141,195,41,36,22,15,34,47
24,2025-10-07 00:53:39,3141,195,41,36,22,15,34,47
25,2025-10-07 00:54:45,3141,195,41,36,24,14,35,45
26,2025-10-07 00:55:47,3141,195,41,36,24,14,35,45
27,2025-10-07 00:56:50,3141,195,41,36,24,14,35,45
28,2025-10-07 00:57:53,3141,195,41,36,24,14,35,45
29,2025-10-07 00:58:57,3141,195,41,36,24,14,35,45
30,2025-10-07 01:00:00,3141,195,36,41,26,14,34,44
31,2025-10-07 01:01:03,3141,194,42,40,20,12,36,44
32,2025-10-07 01:02:06,3141,195,40,39,25,13,34,44
33,2025-10-07 01:03:08,3141,194,38,38,23,12,35,48
34,2025-10-07 01:20:25,3141,194,38,38,23,12,35,48
35,2025-10-07 01:53:46,3141,194,38,38,23,12,35,48
36,2025-10-07 01:54:50,3141,193,42,36,24,16,34,41
37,2025-10-07 01:56:15,3141,195,39,39,26,14,28,49
38,2025-10-07 01:57:19,3141,194,38,41,22,11,32,50
39,2025-10-07 01:58:22,3141,196,43,36,22,13,39,43
40,2025-10-07 01:59:24,3141,194,41,37,20,14,36,46
41,2025-10-07 02:02:49,3141,194,40,40,20,14,28,52
42,2025-10-07 02:03:52,3141,194,40,40,20,14,28,52
43,2025-10-07 02:04:55,3141,194,40,40,20,14,28,52
44,2025-10-07 02:05:58,3141,194,38,38,23,15,35,45
45,2025-10-07 02:07:02,3141,196,40,36,26,11,31,52
46,2025-10-07 02:08:06,3141,193,42,42,20,12,28,49
47,2025-10-07 02:09:09,3141,194,42,39,21,11,35,46
48,2025-10-07 02:14:20,3141,194,41,36,21,14,35,47
49,2025-10-07 02:17:32,3141,194,38,42,24,8,35,47
50,2025-10-07 02:18:35,3141,194,37,40,25,10,34,48
51,2025-10-07 02:51:49,3141,194,37,40,25,10,34,48
52,2025-10-07 02:52:54,3141,193,43,34,20,18,34,44
53,2025-10-07 02:54:18,3141,193,43,34,20,18,34,44
54,2025-10-07 02:55:21,3141,195,40,39,25,7,33,51
55,2025-10-07 02:56:49,3141,195,39,38,25,13,32,48
56,2025-10-07 03:29:13,3141,195,39,38,25,13,32,48
57,2025-10-07 03:32:45,3141,195,39,38,25,13,32,48
58,2025-10-07 03:34:41,3141,195,41,37,23,12,36,46
59,2025-10-07 03:35:47,3141,195,38,41,24,17,29,46
60,2025-10-07 03:36:51,3141,195,40,37,27,14,29,48
61,2025-10-07 03:37:55,3141,193,39,38,25,12,32,47
62,2025-10-07 03:39:54,3141,195,38,40,22,15,34,46
63,2025-10-07 03:43:17,3141,195,38,40,22,15,34,46
64,2025-10-07 03:44:21,3141,195,40,37,25,12,32,49
65,2025-10-07 03:45:23,3141,195,42,38,25,12,32,46
66,2025-10-07 03:46:26,3141,194,40,40,24,11,30,49
67,2025-10-07 03:47:28,3141,194,40,38,25,11,33,47
68,2025-10-07 04:04:44,3141,194,42,36,27,11,33,45
69,2025-10-07 04:05:48,3141,194,42,37,24,14,33,44
70,2025-10-07 04:06:51,3141,194,39,38,25,17,31,44
71,2025-10-07 04:07:55,3141,194,41,38,26,12,31,46
72,2025-10-07 04:09:00,3141,194,41,38,26,12,31,46
73,2025-10-07 04:10:21,3141,194,42,38,23,12,33,46
74,2025-10-07 04:11:25,3141,194,42,38,23,12,33,46
75,2025-10-07 04:12:28,3141,194,38,38,24,15,34,45
76,2025-10-07 04:13:31,3141,194,38,38,24,15,34,45
77,2025-10-07 04:14:54,3141,194,38,38,24,15,34,45
78,2025-10-07 04:15:59,3141,194,38,39,24,14,35,44
79,2025-10-07 04:17:03,3141,195,43,38,22,12,30,50
80,2025-10-07 04:18:06,3141,195,43,38,22,12,30,50
81,2025-10-07 04:19:38,3141,195,43,38,22,12,30,50
82,2025-10-07 04:20:59,3141,195,43,38,22,12,30,50
83,2025-10-07 04:22:03,3141,195,42,39,22,12,29,51
84,2025-10-07 04:23:08,3141,196,38,39,22,14,36,47
85,2025-10-07 04:24:11,3141,196,38,39,22,14,36,47
86,2025-10-07 04:25:34,3141,196,38,39,22,14,36,47
87,2025-10-07 04:31:27,3141,196,38,39,22,14,36,47
88,2025-10-07 04:32:32,3141,196,38,39,22,14,36,47
89,2025-10-07 04:34:32,3141,196,38,39,22,14,36,47
90,2025-10-07 04:35:36,3141,196,38,41,24,12,34,47
91,2025-10-07 04:36:40,3141,196,42,37,22,14,36,45
92,2025-10-07 04:37:44,3141,196,42,37,22,14,36,45
93,2025-10-07 04:38:47,3141,196,42,37,22,14,36,45
94,2025-10-07 04:39:51,3141,196,42,37,22,14,36,45
95,2025-10-07 04:40:54,3141,196,40,36,24,13,35,48
96,2025-10-07 04:41:58,3141,194,40,39,21,14,34,46
97,2025-10-07 04:43:03,3141,194,40,39,21,14,34,46
98,2025-10-07 04:44:08,3141,193,40,41,23,13,33,43
99,2025-10-07 04:45:14,3141,194,42,36,23,16,31,46
100,2025-10-07 04:46:19,3141,194,42,36,23,16,31,46
101,2025-10-07 04:47:22,3141,194,42,36,23,16,31,46
102,2025-10-07 04:48:26,3141,194,42,36,23,16,31,46
103,2025-10-07 04:49:28,3141,194,42,36,23,16,31,46
104,2025-10-07 04:50:31,3141,195,39,37,24,14,33,48
105,2025-10-07 04:51:35,3141,195,39,37,24,14,33,48
106,2025-10-07 04:52:39,3141,195,40,36,24,17,30,48
107,2025-10-07 04:54:35,3141,195,43,36,24,12,32,48
108,2025-10-07 04:55:38,3141,195,43,36,24,12,32,48
109,2025-10-07 04:56:42,3141,195,43,36,24,12,32,48
110,2025-10-07 04:57:46,3141,195,43,36,24,12,32,48
111,2025-10-07 04:58:51,3141,195,43,36,24,12,32,48
112,2025-10-07 04:59:56,3141,195,43,38,22,11,32,49
113,2025-10-07 05:03:03,3141,195,43,38,22,11,32,49
114,2025-10-07 05:04:07,3141,195,44,35,23,14,31,48
115,2025-10-07 05:05:12,3141,195,44,35,23,14,31,48
116,2025-10-07 05:06:16,3141,195,44,35,23,14,31,48
117,2025-10-07 05:07:19,3141,195,43,37,22,15,32,46
118,2025-10-07 05:08:22,3141,195,43,37,22,15,32,46
119,2025-10-07 05:09:26,3141,195,43,37,22,15,32,46
120,2025-10-07 05:10:29,3141,195,43,37,22,15,32,46
121,2025-10-07 05:11:33,3141,194,36,42,24,12,31,49
122,2025-10-07 05:12:38,3141,194,37,42,25,11,30,49
123,2025-10-07 05:14:30,3141,194,37,42,25,11,30,49
124,2025-10-07 05:15:35,3141,194,37,42,25,11,30,49
125,2025-10-07 05:24:30,3141,195,43,38,23,12,31,48
126,2025-10-07 05:25:33,3141,194,37,42,25,11,30,49
127,2025-10-07 05:26:54,3141,194,37,42,25,11,30,49
128,2025-10-07 05:27:57,3141,195,39,39,21,16,31,49
129,2025-10-07 05:29:48,3141,195,39,39,21,16,31,49
