epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.723,4.11188,2.99981,1.96569,0.27484,0.11388,0.17879,0.0526,2.33245,inf,0.906,0.0004,0.0004,0.0004
2,74.3719,1.82152,1.09073,0.84767,0.71753,0.29732,0.47858,0.17541,2.45844,inf,0.92222,0.000817294,0.000817294,0.000817294
3,88.1301,1.63856,0.89112,0.83496,0.82219,0.34068,0.5633,0.28232,2.04894,1.28771,0.87549,0.00123182,0.00123182,0.00123182
4,100.713,1.67575,0.88582,0.8381,0.82659,0.34251,0.56816,0.29347,2.00321,1.03324,0.86916,0.00164357,0.00164357,0.00164357
5,114.027,1.62538,0.87624,0.83202,0.79527,0.32953,0.54293,0.28565,1.89565,1.04623,0.86002,0.0019736,0.0019736,0.0019736
6,127.239,1.56832,0.83832,0.82924,0.8095,0.33543,0.55208,0.27279,2.12251,0.97006,0.87647,0.001967,0.001967,0.001967
7,139.234,1.66831,0.86473,0.8389,0.83616,0.34648,0.57691,0.3126,1.91774,0.87502,0.84359,0.0019604,0.0019604,0.0019604
8,150.232,1.49918,0.80681,0.82728,0.85581,0.35462,0.59084,0.32347,1.90533,0.94838,0.84512,0.0019538,0.0019538,0.0019538
9,161.303,1.56955,0.80596,0.82818,0.84849,0.35159,0.58341,0.31805,1.89421,0.96777,0.84677,0.0019472,0.0019472,0.0019472
10,172.632,1.51021,0.81466,0.8268,0.84416,0.34979,0.58164,0.33057,1.78975,0.84927,0.84176,0.0019406,0.0019406,0.0019406
11,184.132,1.5234,0.78657,0.82743,0.86781,0.35959,0.60226,0.34618,1.7522,1.34098,0.84164,0.001934,0.001934,0.001934
12,194.071,1.49239,0.81395,0.82424,0.87007,0.36053,0.60304,0.3537,1.68198,0.87121,0.83343,0.0019274,0.0019274,0.0019274
13,205.123,1.44389,0.78266,0.8212,0.87348,0.36194,0.60607,0.3557,1.69748,0.8532,0.82961,0.0019208,0.0019208,0.0019208
14,215.433,1.3978,0.71139,0.81692,0.87154,0.36114,0.6049,0.35631,1.68431,0.85735,0.83149,0.0019142,0.0019142,0.0019142
15,226.784,1.41823,0.75268,0.81878,0.87237,0.36148,0.60577,0.33939,1.8077,0.81563,0.83866,0.0019076,0.0019076,0.0019076
16,237.957,1.53127,0.77028,0.82646,0.85821,0.35561,0.58825,0.34701,1.70562,0.88651,0.83344,0.001901,0.001901,0.001901
17,249.845,1.46725,0.7318,0.82421,0.87125,0.36102,0.60523,0.35991,1.69792,0.89698,0.83984,0.0018944,0.0018944,0.0018944
18,261.26,1.35528,0.69633,0.81398,0.8719,0.36128,0.5997,0.34845,1.69603,0.83165,0.84081,0.0018878,0.0018878,0.0018878
19,272.48,1.34776,0.6936,0.81795,0.87921,0.36431,0.60748,0.36146,1.64095,0.78525,0.82873,0.0018812,0.0018812,0.0018812
20,282.259,1.37501,0.68553,0.81542,0.87215,0.36139,0.60452,0.35313,1.68729,0.8337,0.82342,0.0018746,0.0018746,0.0018746
21,293.848,1.43863,0.72059,0.82374,0.86326,0.35771,0.59749,0.34215,1.7462,0.83615,0.83087,0.001868,0.001868,0.001868
22,304.446,1.39486,0.69748,0.81964,0.88047,0.36483,0.6089,0.35756,1.71651,0.87264,0.82966,0.0018614,0.0018614,0.0018614
23,314.827,1.36931,0.6947,0.81684,0.88,0.36464,0.6093,0.36216,1.65942,0.7884,0.8343,0.0018548,0.0018548,0.0018548
24,324.979,1.32562,0.66355,0.81486,0.89305,0.37005,0.62024,0.37566,1.63122,0.79586,0.82588,0.0018482,0.0018482,0.0018482
25,336.547,1.33553,0.67339,0.81553,0.87953,0.36445,0.61272,0.36353,1.63833,0.77793,0.82131,0.0018416,0.0018416,0.0018416
26,346.645,1.36126,0.67358,0.81871,0.8824,0.36564,0.61619,0.36937,1.68486,0.7944,0.83306,0.001835,0.001835,0.001835
27,358.051,1.32616,0.65972,0.81627,0.86186,0.35713,0.59353,0.35215,1.65533,0.8259,0.83347,0.0018284,0.0018284,0.0018284
28,369.333,1.35889,0.68577,0.8164,0.88864,0.36822,0.61746,0.36044,1.6817,0.7905,0.82867,0.0018218,0.0018218,0.0018218
29,380.157,1.35951,0.67952,0.81612,0.88724,0.36764,0.61296,0.3612,1.63044,0.7472,0.82294,0.0018152,0.0018152,0.0018152
30,391.037,1.28524,0.64849,0.81381,0.85384,0.3538,0.59601,0.36319,1.58977,0.84331,0.8259,0.0018086,0.0018086,0.0018086
31,402.307,1.27017,0.65636,0.80917,0.89882,0.37244,0.62496,0.38403,1.57501,0.74777,0.82418,0.001802,0.001802,0.001802
32,413.648,1.28857,0.63902,0.81477,0.89477,0.37076,0.62228,0.37594,1.60331,0.83031,0.82152,0.0017954,0.0017954,0.0017954
33,424.668,1.32511,0.67119,0.81745,0.89047,0.36898,0.62141,0.37703,1.61423,0.76913,0.82822,0.0017888,0.0017888,0.0017888
34,434.731,1.29162,0.65938,0.81591,0.89441,0.37061,0.62184,0.38304,1.57353,0.74513,0.82591,0.0017822,0.0017822,0.0017822
35,445.846,1.33729,0.65211,0.8127,0.89258,0.36985,0.61857,0.37713,1.6187,0.76567,0.82656,0.0017756,0.0017756,0.0017756
36,457.376,1.32284,0.65633,0.8142,0.8786,0.36406,0.60808,0.36886,1.66466,0.80433,0.83732,0.001769,0.001769,0.001769
37,469.186,1.33698,0.64617,0.81552,0.87849,0.36402,0.61293,0.36087,1.67891,0.77091,0.82708,0.0017624,0.0017624,0.0017624
38,480.308,1.30163,0.64173,0.80994,0.89337,0.37018,0.62215,0.38435,1.59952,0.77466,0.82644,0.0017558,0.0017558,0.0017558
39,492.31,1.32413,0.63165,0.81519,0.87366,0.36201,0.60678,0.36928,1.59876,0.73998,0.8301,0.0017492,0.0017492,0.0017492
40,503.816,1.30478,0.62764,0.81217,0.88502,0.36672,0.61041,0.37196,1.63259,0.77401,0.82328,0.0017426,0.0017426,0.0017426
41,515.155,1.29668,0.61608,0.8131,0.86846,0.35986,0.60065,0.36852,1.59192,0.84296,0.82366,0.001736,0.001736,0.001736
42,526.704,1.44716,0.64623,0.8166,0.84971,0.35209,0.57536,0.30011,1.96868,0.94414,0.84097,0.0017294,0.0017294,0.0017294
43,540.386,1.46833,0.6793,0.81527,0.87315,0.3618,0.60469,0.37613,1.621,0.78234,0.82451,0.0017228,0.0017228,0.0017228
44,552.103,1.31788,0.63465,0.81359,0.87835,0.36396,0.60887,0.37419,1.57154,0.756,0.82202,0.0017162,0.0017162,0.0017162
45,563.9,1.2763,0.6284,0.81035,0.88032,0.36477,0.60366,0.36305,1.58561,0.74412,0.81852,0.0017096,0.0017096,0.0017096
46,575.33,1.27393,0.62527,0.80991,0.89746,0.37187,0.62332,0.37887,1.56448,0.76552,0.82196,0.001703,0.001703,0.001703
47,586.813,1.27324,0.60174,0.80883,0.88778,0.36786,0.61284,0.36789,1.5992,0.89439,0.83038,0.0016964,0.0016964,0.0016964
48,597.904,1.27407,0.6129,0.80992,0.8762,0.36307,0.60745,0.37809,1.55493,0.74096,0.82136,0.0016898,0.0016898,0.0016898
