epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0297,3.86818,2.86196,1.82087,0.29767,0.25348,0.26947,0.07379,2.3036,inf,0.88458,0.00042,0.00042,0.00042
2,54.3204,1.57484,0.89945,0.83649,0.85401,0.53811,0.65002,0.31637,1.92451,1.12954,0.85381,0.000857162,0.000857162,0.000857162
3,68.0561,1.43678,0.78982,0.82334,0.87587,0.55443,0.66661,0.41145,1.40422,0.85376,0.81115,0.00129142,0.00129142,0.00129142
4,82.4235,1.50621,0.7883,0.82303,0.88662,0.56429,0.65872,0.41806,1.35076,0.7445,0.80114,0.00172277,0.00172277,0.00172277
5,95.6954,1.47919,0.75153,0.81888,0.88064,0.55928,0.67568,0.4071,1.54707,0.74858,0.81556,0.0019736,0.0019736,0.0019736
6,107.894,1.41641,0.72259,0.82028,0.86695,0.55396,0.66552,0.44934,1.25006,0.67744,0.80281,0.001967,0.001967,0.001967
7,120.301,1.33931,0.72646,0.81577,0.85507,0.54822,0.65683,0.43091,1.25952,0.72827,0.80426,0.0019604,0.0019604,0.0019604
8,133.712,1.31902,0.73407,0.80939,0.8742,0.55726,0.67398,0.47688,1.12224,0.64574,0.79674,0.0019538,0.0019538,0.0019538
9,147.954,1.26918,0.6852,0.81107,0.87561,0.55707,0.6745,0.47441,1.13152,0.62244,0.79934,0.0019472,0.0019472,0.0019472
10,161.285,1.24364,0.67904,0.8097,0.87545,0.5568,0.67588,0.47213,1.16744,0.64615,0.79742,0.0019406,0.0019406,0.0019406
11,172.637,1.22541,0.67812,0.81292,0.87484,0.55551,0.66782,0.46355,1.10824,0.622,0.79405,0.001934,0.001934,0.001934
12,187.56,1.20292,0.63993,0.80792,0.8782,0.55779,0.67872,0.46036,1.24079,0.65566,0.79928,0.0019274,0.0019274,0.0019274
13,202.302,1.29843,0.68004,0.81081,0.88004,0.55957,0.68404,0.48014,1.13311,0.65084,0.79731,0.0019208,0.0019208,0.0019208
14,215.856,1.26781,0.65598,0.80724,0.87772,0.55815,0.66118,0.45308,1.16634,0.66752,0.7982,0.0019142,0.0019142,0.0019142
15,228.326,1.21338,0.62132,0.80667,0.88238,0.56057,0.68983,0.48955,1.12945,0.7502,0.79227,0.0019076,0.0019076,0.0019076
16,243.311,1.24868,0.63949,0.80698,0.83365,0.54535,0.62127,0.43883,1.13815,1.26219,0.79195,0.001901,0.001901,0.001901
17,255.133,1.14708,0.59049,0.80426,0.89334,0.5678,0.69733,0.4943,1.12881,0.59334,0.79461,0.0018944,0.0018944,0.0018944
18,267.282,1.16115,0.60889,0.8066,0.88256,0.55987,0.68963,0.49115,1.12558,0.59817,0.79652,0.0018878,0.0018878,0.0018878
