iter,timestamp,tag,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19
-4,2026-02-18 03-45-56,executed,20.0,30.0,-20.0,15.0,-10.0,5.0,-5.0,5.0,-10.0,15.0,-20.0,0.0,40.0,30.0,20.0,10.0,-10.0,-20.0,-30.0,-40.0
-3,2026-02-18 03-46-14,proposed,20.0,30.0,-20.0,15.0,-10.0,5.0,-5.0,5.0,-10.0,15.0,-20.0,0.0,40.0,30.0,20.0,10.0,-10.0,-20.0,-30.0,-40.0
-3,2026-02-18 03-46-14,executed,80.0,-80.0,60.0,-60.0,40.0,-40.0,20.0,-20.0,10.0,-10.0,0.0,30.0,-30.0,60.0,-60.0,90.0,-90.0,120.0,-120.0,0.0
-2,2026-02-18 03-46-34,proposed,80.0,-80.0,60.0,-60.0,40.0,-40.0,20.0,-20.0,10.0,-10.0,0.0,30.0,-30.0,60.0,-60.0,90.0,-90.0,120.0,-120.0,0.0
-2,2026-02-18 03-46-34,executed,1.0,30.0,25.0,35.0,30.0,-20.0,-55.0,-50.0,-45.0,-70.0,45.0,-30.0,0.0,55.0,15.0,35.0,10.0,35.0,20.0,-45.0
-1,2026-02-18 03-46-52,proposed,1.0,30.0,25.0,35.0,30.0,-20.0,-55.0,-50.0,-45.0,-70.0,45.0,-30.0,0.0,55.0,15.0,35.0,10.0,35.0,20.0,-45.0
-1,2026-02-18 03-46-52,executed,20.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0
0,2026-02-18 03-47-11,proposed,20.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0
0,2026-02-18 03-47-11,executed,20.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0
1,2026-02-18 03-48-37,proposed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2026-02-18 03-48-37,executed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2026-02-18 03-49-10,proposed,40.0,60.0,-40.0,30.0,-20.0,10.0,-10.0,10.0,-20.0,30.0,-40.0,0.0,80.0,60.0,40.0,20.0,-20.0,-40.0,-60.0,-80.0
2,2026-02-18 03-49-10,executed,40.0,60.0,-40.0,30.0,-20.0,10.0,-10.0,10.0,-20.0,30.0,-40.0,0.0,80.0,60.0,40.0,20.0,-20.0,-40.0,-60.0,-80.0
3,2026-02-18 03-49-38,proposed,80.0,-40.0,40.0,-40.0,40.0,-40.0,40.0,-40.0,40.0,-40.0,-80.0,80.0,-80.0,80.0,-80.0,80.0,-80.0,80.0,-80.0,80.0
3,2026-02-18 03-49-38,executed,80.0,-40.0,40.0,-40.0,40.0,-40.0,40.0,-40.0,40.0,-40.0,-80.0,80.0,-80.0,80.0,-80.0,80.0,-80.0,80.0,-80.0,80.0
4,2026-02-18 03-50-19,proposed,100.0,90.0,80.0,70.0,60.0,50.0,40.0,30.0,20.0,10.0,0.0,20.0,40.0,60.0,80.0,60.0,40.0,20.0,0.0,-20.0
4,2026-02-18 03-50-19,executed,100.0,90.0,80.0,70.0,60.0,50.0,40.0,30.0,20.0,10.0,0.0,20.0,40.0,60.0,80.0,60.0,40.0,20.0,0.0,-20.0
5,2026-02-18 03-50-51,proposed,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,0.0,20.0,40.0,60.0,40.0,20.0,0.0,-20.0,-40.0,-60.0
5,2026-02-18 03-50-51,executed,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,0.0,20.0,40.0,60.0,40.0,20.0,0.0,-20.0,-40.0,-60.0
6,2026-02-18 03-51-18,proposed,80.0,70.0,60.0,50.0,40.0,30.0,20.0,10.0,0.0,0.0,60.0,30.0,0.0,-30.0,-60.0,-30.0,0.0,30.0,60.0,30.0
6,2026-02-18 03-51-18,executed,80.0,70.0,60.0,50.0,40.0,30.0,20.0,10.0,0.0,0.0,60.0,30.0,0.0,-30.0,-60.0,-30.0,0.0,30.0,60.0,30.0
7,2026-02-18 03-51-47,proposed,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,0.0,30.0,-30.0,30.0,-30.0,30.0,-30.0,30.0,-30.0,30.0
7,2026-02-18 03-51-47,executed,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,0.0,30.0,-30.0,30.0,-30.0,30.0,-30.0,30.0,-30.0,30.0
8,2026-02-18 03-52-19,proposed,1.0,80.0,60.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-40.0,60.0,-80.0,100.0,-80.0,60.0,-40.0
8,2026-02-18 03-52-19,executed,1.0,80.0,60.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-40.0,60.0,-80.0,100.0,-80.0,60.0,-40.0
9,2026-02-18 03-52-52,proposed,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0
9,2026-02-18 03-52-52,executed,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0
10,2026-02-18 03-53-21,proposed,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,0.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0
10,2026-02-18 03-53-21,executed,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,0.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0
11,2026-02-18 03-54-00,proposed,100.0,90.0,80.0,70.0,60.0,50.0,40.0,30.0,20.0,10.0,-130.0,130.0,-130.0,130.0,-130.0,130.0,-130.0,130.0,-130.0,130.0
11,2026-02-18 03-54-00,executed,100.0,90.0,80.0,70.0,60.0,50.0,40.0,30.0,20.0,10.0,-130.0,130.0,-130.0,130.0,-130.0,130.0,-130.0,130.0,-130.0,130.0
12,2026-02-18 03-54-32,proposed,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,100.0,0.0,120.0,-120.0,120.0,-120.0,120.0,-120.0,120.0,-120.0,120.0
12,2026-02-18 03-54-32,executed,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,100.0,0.0,120.0,-120.0,120.0,-120.0,120.0,-120.0,120.0,-120.0,120.0
